lang,tier
aai_Latn,script
aak_Latn,script
aau_Latn,family_script
aaz_Latn,script
aba_Latn,script
abi_Latn,family_script
abk_Cyrl,script
abn_Latn,script
abq_Cyrl,script
abs_Latn,script
abt_Latn,genus_script
abx_Latn,script
aby_Latn,script
abz_Latn,script
aca_Latn,family_script
acd_Latn,script
ace_Arab,script
ace_Latn,genus_script
acf_Latn,genus_script
ach_Latn,genus_script
acm_Arab,genus_script
acn_Latn,family_script
acr_Latn,genus_script
acu_Latn,genus_script
ada_Latn,script
ade_Latn,script
adh_Latn,script
adi_Latn,family_script
adj_Latn,family_script
adl_Latn,family_script
ady_Cyrl,script
adz_Latn,genus_script
aeb_Arab,genus_script
aer_Latn,script
aeu_Latn,script
aey_Latn,family_script
afr_Latn,genus_script
agd_Latn,genus_script
agg_Latn,script
agm_Latn,family_script
agn_Latn,script
agr_Latn,genus_script
agt_Latn,genus_script
agu_Latn,genus_script
agw_Latn,script
agx_Cyrl,script
aha_Latn,script
ahk_Latn,family_script
aia_Latn,genus_script
aii_Syrc,none
aim_Latn,script
ain_Latn,script
ajg_Latn,genus_script
aji_Latn,genus_script
ajz_Latn,script
akb_Latn,script
ake_Latn,genus_script
akh_Latn,script
akp_Latn,script
ald_Latn,family_script
alj_Latn,script
aln_Latn,script
alp_Latn,family_script
alq_Latn,script
als_Latn,script
alt_Cyrl,genus_script
aly_Latn,script
alz_Latn,script
ame_Latn,family_script
amf_Latn,family_script
amh_Ethi,family_script
ami_Latn,family_script
amk_Latn,family_script
amm_Latn,script
amn_Latn,script
amp_Latn,family_script
amr_Latn,script
amu_Latn,family_script
amx_Latn,script
ang_Latn,script
anm_Latn,script
ann_Latn,family_script
anp_Deva,script
anv_Latn,script
any_Latn,family_script
aoi_Latn,script
aoj_Latn,family_script
aom_Latn,family_script
aoz_Latn,family_script
apb_Latn,genus_script
apc_Arab,genus_script
ape_Latn,family_script
apn_Latn,script
apr_Latn,genus_script
apt_Latn,family_script
apu_Latn,family_script
apw_Latn,script
apy_Latn,genus_script
apz_Latn,family_script
aqz_Latn,script
arb_Arab,genus_script
arb_Latn,family_script
arc_Syrc,script
are_Latn,script
arg_Latn,script
arl_Latn,script
arn_Latn,script
arp_Latn,script
arq_Arab,script
arr_Latn,family_script
ars_Arab,script
ary_Arab,genus_script
arz_Arab,genus_script
asg_Latn,script
asm_Beng,script
asm_Latn,genus_script
aso_Latn,script
ast_Latn,genus_script
ata_Latn,script
atb_Latn,script
atd_Latn,script
atg_Latn,script
ati_Latn,script
atj_Latn,script
atq_Latn,genus_script
att_Latn,script
auc_Latn,script
aui_Latn,script
auy_Latn,genus_script
ava_Cyrl,script
avk_Latn,script
avn_Latn,family_script
avt_Latn,family_script
avu_Latn,family_script
awa_Deva,genus_script
awb_Latn,genus_script
awi_Latn,script
awx_Latn,script
ayo_Latn,script
ayp_Arab,script
ayr_Latn,script
azb_Arab,genus_script
azg_Latn,script
azj_Cyrl,genus_script
azj_Latn,genus_script
azz_Latn,genus_script
bak_Cyrl,genus_script
bal_Arab,script
bam_Latn,genus_script
ban_Latn,genus_script
bao_Latn,script
bar_Latn,genus_script
bas_Latn,genus_script
bav_Latn,family_script
bba_Latn,family_script
bbb_Latn,family_script
bbc_Latn,genus_script
