lang,N,category,support,f1_baseline,f1_freq_prior,f1_learned_bias,f1_floor21,f1_margin_q5,f1_margin_q5_head,f1_gt_margin_adaptive
aai_Latn,24580,head,1191,0.9854832019908751,0.9863127333056823,0.9887640449438202,0.9871315898713159,0.9850746268656717,0.9850746268656717,0.9871101871101872
aak_Latn,24062,head,2591,0.9998070615473663,1.0,0.9998070615473663,0.9998070615473663,0.9998070615473663,0.9998070615473663,1.0
aau_Latn,24485,head,1127,0.9973451327433629,0.9977866312527667,0.9986708019494905,0.9973451327433629,0.9973451327433629,0.9969040247678018,0.9986708019494905
aaz_Latn,20777,head,1757,0.9937782805429864,0.9951854998583971,0.9954674220963173,0.9937782805429864,0.9932165065008479,0.992935857586889,0.9946221341636003
aba_Latn,18107,head,2918,0.9118072289156626,0.910783055198973,0.8981012658227849,0.8886456052549264,0.90976117967623,0.9071736699153219,0.9249063365368954
abi_Latn,6735,mid,977,0.9944020356234098,0.9944020356234098,0.9944020356234098,0.9974476773864216,0.9938962360122076,0.9944020356234098,0.9917440660474716
abk_Cyrl,100000,head,221110,0.9973978638910549,0.9975433650459826,0.9973433915732017,0.9973501617330713,0.9974001482391501,0.9974024207806337,0.9972729312928301
abn_Latn,47050,head,7950,0.972819020494087,0.9713155291790306,0.9688000986558146,0.9688000986558146,0.9726383558251827,0.9715557754142963,0.9754159423888752
abq_Cyrl,141,flat_magnet,7,0.5714285714285714,0.75,0.6,0.923076923076923,0.5454545454545455,0.5714285714285714,0.17391304347826084
abs_Latn,1335,flat_magnet,67,0.018179314144057296,0.02812699765608353,0.02875190590285341,0.02506265664160401,0.0177133655394525,0.018179314144057296,0.061254253767622745
abt_Latn,46820,head,2129,0.9974160206718347,0.9971817754814467,0.9978848413631023,0.9976503759398496,0.9974160206718347,0.9974160206718347,0.9976492712740951
abx_Latn,17721,mid,1610,0.9810860280658938,0.9877149877149878,0.9840881272949816,0.981074481074481,0.9807868252516012,0.9810860280658938,0.997826761875194
aby_Latn,21889,head,929,0.9973103819257666,0.9983844911147012,0.9978471474703983,0.9973103819257666,0.9973103819257666,0.9973103819257666,0.9973103819257666
abz_Latn,13333,mid,2081,0.6205717837165942,0.6034769463340892,0.5839544059622973,0.5901978151756717,0.6067415730337079,0.6205717837165942,0.8419031363345423
aca_Latn,7493,mid,1114,0.9973142345568488,0.9982078853046595,0.9986553115194979,0.9977608598298254,0.9973142345568488,0.9973142345568488,0.9882032667876589
acd_Latn,17727,mid,2550,0.9998039600078416,0.9998039600078416,0.9998039600078416,0.999607996863975,0.9998039600078416,0.9998039600078416,0.9996078431372549
ace_Arab,6107,twin,870,0.5830182193193537,0.6433990895295902,0.773017319963537,0.5948789898281305,0.5669449081803005,0.5830182193193537,0.8222550467749877
ace_Latn,47937,head,7939,0.9647669049275729,0.9646761453396524,0.9663020800404628,0.9640850848955376,0.9643489254108722,0.9642270256604727,0.9650853889943074
acf_Latn,34818,head,2836,0.9454671761028135,0.9481946624803768,0.9465994085927987,0.9427726561141068,0.945303003993749,0.945138888888889,0.9432846207376478
ach_Latn,42880,head,5875,0.9913756297498079,0.9916325136612021,0.9923925121805283,0.9914588315681584,0.9913756297498079,0.9912063519166738,0.9913726830101649
acm_Arab,4566,flat_magnet,595,0.06862165131412153,0.09787357995921933,0.1322588291064233,0.0824361734850815,0.06848852901484481,0.06862165131412153,0.04903212082535631
acn_Latn,17803,mid,1544,0.9993527508090615,0.9993527508090615,0.9996762706377468,0.9996762706377468,0.9993527508090615,0.9993527508090615,0.9987029831387808
acr_Latn,67975,head,7606,0.9660190933974231,0.966259103360727,0.965140305272279,0.9655862344937975,0.9659546061415221,0.9659546061415221,0.9655540720961281
acu_Latn,24513,head,2152,0.9972131908964236,0.9972131908964236,0.9976765799256505,0.9969816577664267,0.9972131908964236,0.9972131908964236,0.9972131908964236
ada_Latn,100000,head,30287,0.993691112914176,0.9937473120058227,0.9939917572868563,0.9934050676848316,0.9936259333454743,0.9935276688020394,0.9912578523511949
ade_Latn,13525,mid,2161,0.9995374653098983,0.9995374653098983,0.9997686791579922,0.999306358381503,0.999306358381503,0.9995374653098983,0.999537251272559
adh_Latn,23111,head,2397,0.9853517639777182,0.9882060831781502,0.9884105960264901,0.9843169624432523,0.985148514851485,0.9849453495566096,0.9849266983274829
