lang,N,category,support_derive,support_judge,f1_baseline,f1_unmod_gate,f1_floor21,f1_floor21_gate,f1_gt_min,f1_gt_margin_adaptive,f1_freq_prior,f1_learned_bias,f1_margin_q5,f1_margin_q5_head
aai_Latn,24580,head,485,706,0.9887640449438202,0.9887640449438202,0.9908069458631257,0.9908069458631257,0.9918032786885246,0.9918032786885246,0.9897750511247444,0.9907881269191402,0.9887640449438202,0.9887640449438202
aak_Latn,24062,head,1036,1555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aau_Latn,24485,head,467,660,0.9946751863684772,0.9946751863684772,0.9957356076759062,0.9957356076759062,0.9967982924226254,0.9967982924226254,0.9957356076759062,0.9978632478632478,0.9946751863684772,0.9946751863684772
aaz_Latn,20777,head,722,1035,0.9944903581267218,0.9944903581267218,0.9951757408683667,0.9951757408683667,0.9951757408683667,0.9951757408683667,0.9972375690607734,0.9951757408683667,0.9944903581267218,0.993805918788713
aba_Latn,18107,head,1165,1753,0.9118712273641851,0.9118712273641851,0.8887147335423197,0.8887147335423197,0.9248979591836735,0.9248979591836735,0.9078525641025641,0.8942383583267561,0.9107717041800644,0.9093097913322633
abi_Latn,6735,mid,387,590,0.9935815147625161,0.9948051948051948,0.9987096774193548,0.989556135770235,0.9974226804123711,0.9921875,0.9935815147625161,0.9935815147625161,0.9935815147625161,0.9935815147625161
abk_Cyrl,100000,head,88546,132564,0.9973906891184379,0.997555399624256,0.9973452880277585,0.9974816500002829,0.9970727951126437,0.9972943600425658,0.9975439708445573,0.9973340578356625,0.9973850438090063,0.9973850438090063
abn_Latn,47050,head,3149,4801,0.9731680527224227,0.9731680527224227,0.9686084647821334,0.9686084647821334,0.9751572327044026,0.9751572327044026,0.9714912280701755,0.9698201720093823,0.9731680527224227,0.971795675336885
abq_Cyrl,141,flat_magnet,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abs_Latn,1335,flat_magnet,31,36,0.021117166212534063,0.07004830917874397,0.02857142857142857,0.0983050847457627,0.01896604466197614,0.06921241050119331,0.03263157894736842,0.03382433169667212,0.020625415834996674,0.021117166212534063
abt_Latn,46820,head,835,1294,0.9982068141063957,0.9982068141063957,0.9982068141063957,0.9982068141063957,0.9982046678635547,0.9982046678635547,0.997610513739546,0.9994015559545182,0.9982068141063957,0.9982068141063957
abx_Latn,17721,mid,610,1000,0.9782783588093323,0.9975389663658737,0.9790660225442834,0.9975389663658737,0.977491961414791,0.9975389663658737,0.9838187702265372,0.9806451612903225,0.9782783588093323,0.9782783588093323
aby_Latn,21889,head,355,574,0.9971910112359551,0.9971910112359551,0.9971910112359551,0.9971910112359551,0.9971910112359551,0.9971910112359551,1.0,0.9985935302390998,0.9971910112359551,0.9971910112359551
abz_Latn,13333,mid,833,1248,0.6254886630179828,0.7586538461538462,0.5937731653076354,0.7641646489104117,0.7600950118764844,0.8525296017222821,0.6018832391713748,0.585187887632251,0.6125574272588056,0.6254886630179828
aca_Latn,7493,mid,452,662,0.9955947136563876,0.9831649831649831,0.9966923925027563,0.9797297297297297,0.9966923925027563,0.9820224719101124,0.9977924944812362,0.9977924944812362,0.9955947136563876,0.9955947136563876
acd_Latn,17727,mid,1028,1522,1.0,0.9995133819951338,1.0,0.9995133819951338,1.0,0.9995133819951338,1.0,1.0,1.0,1.0
ace_Arab,6107,twin,343,527,0.5939716312056738,0.8213399503722084,0.6063348416289593,0.8282051282051283,0.6666666666666666,0.8365019011406843,0.6467181467181468,0.7863849765258216,0.5810928013876843,0.5939716312056738
ace_Latn,47937,head,3226,4713,0.9636335258311222,0.9636335258311222,0.9629283489096573,0.9629283489096573,0.9639569355593696,0.9639569355593696,0.9644194756554307,0.9653558052434458,0.9634945397815913,0.9633442520667603
acf_Latn,34818,head,1088,1748,0.9484629294755876,0.9484629294755876,0.9456521739130435,0.9456521739130435,0.9460806524694154,0.9460806524694154,0.9509536784741144,0.9497510185604344,0.9484629294755876,0.9484629294755876
ach_Latn,42880,head,2395,3480,0.9914172074523759,0.9914172074523759,0.9920435510887771,0.9920435510887771,0.9918324607329843,0.9918324607329843,0.9918358802595771,0.9922480620155039,0.9914172074523759,0.9914172074523759
acm_Arab,4566,flat_magnet,227,368,0.06300900128589797,0.070495439980281,0.0763239875389408,0.08764455264759587,0.04099862574438846,0.046555435952637246,0.0907400520639643,0.11613691931540342,0.06286080821039126,0.06300900128589797
acn_Latn,17803,mid,609,935,0.9991796554552912,0.9991783073130649,0.9991796554552912,0.9991783073130649,0.9991796554552912,0.9991783073130649,0.9991796554552912,0.9991796554552912,0.9991796554552912,0.9991796554552912
acr_Latn,67975,head,3017,4589,0.96634129922585,0.96634129922585,0.9660618279569892,0.9660618279569892,0.9656912209889,0.9656912209889,0.9669700033704077,0.964891651268268,0.9661786976274608,0.9661786976274608
acu_Latn,24513,head,847,1305,0.9970536240424278,0.9970536240424278,0.9964664310954064,0.9964664310954064,0.9964664310954064,0.9964664310954064,0.9970536240424278,0.9970536240424278,0.9970536240424278,0.9970536240424278
ada_Latn,100000,head,12036,18251,0.9935413975582317,0.9903905637810863,0.993384647389224,0.9884697743370121,0.9931950068884899,0.991165056560152,0.9937133102960155,0.9938348746146796,0.9935424738574344,0.9934596958966881
ade_Latn,13525,mid,877,1284,0.9994301994301994,0.9994301994301994,0.9988610478359908,0.9982866933181039,0.9994301994301994,0.9994301994301994,0.9988610478359908,0.9994301994301994,0.9988610478359908,0.9994301994301994
adh_Latn,23111,head,987,1410,0.9844611528822055,0.9844611528822055,0.9834586466165414,0.9834586466165414,0.9854344550477148,0.9854344550477148,0.987430869783811,0.98842476094615,0.9839679358717435,0.9834752128192289
adi_Latn,30503,head,2027,3092,0.988967884285364,0.988967884285364,0.990424748342745,0.990424748342745,0.989933709796219,0.989933709796219,0.9896957801766437,0.9921298573536644,0.988967884285364,0.988967884285364
adj_Latn,17702,mid,1178,1705,0.9974511469838572,0.997875053123672,0.997875053123672,0.9978732454274777,0.997875053123672,0.9982993197278911,0.9974511469838572,0.9974511469838572,0.997027600849257,0.9974511469838572
adl_Latn,11055,mid,712,1027,0.9978976874562019,0.9992972593113141,0.9978976874562019,0.996476391825229,0.9978976874562019,0.9978888106966924,0.999298245614035,0.9985974754558204,0.9978976874562019,0.9978976874562019
ady_Cyrl,5894,mid,321,499,0.9546827794561933,0.9646697388632873,0.9575757575757576,0.9671361502347416,0.9532428355957768,0.9597523219814241,0.9648854961832062,0.9561270801815431,0.9546827794561933,0.9546827794561933
adz_Latn,3796,mid,30,48,0.759493670886076,0.9375,0.8955223880597014,0.967741935483871,0.8823529411764706,0.9523809523809523,0.8571428571428571,0.8,0.759493670886076,0.759493670886076
