tag,support,f1_baseline,f1_floor21,f1_gated
ace,1,0.03225806451612903,0.031746031746031744,0.07142857142857142
acf,603,0.7009646302250803,0.6953713670613564,0.6953713670613564
aeb,15,0.0,0.0,0.0
afr,88,0.5499999999999999,0.5445544554455446,0.4890829694323144
amh,1617,0.9400196656833825,0.9490094186424164,0.9581455247907276
apd,27,0.0,0.0,0.0
ara,16306,0.7240856761585959,0.7349220223581912,0.7366579982970106
arb,26152,0.7347847121432027,0.750262830928032,0.751545530492899
arg,2342,0.8582172085821721,0.8566992014196984,0.8580904998815447
ars,229,0.7554347826086957,0.7452054794520548,0.7452054794520548
ary,226,0.8010610079575597,0.8010610079575597,0.8229166666666666
arz,1102,0.19639934533551556,0.25770750988142294,0.25908372827804105
asm,213,0.7862903225806451,0.8271604938271604,0.8220858895705522
aze,29,0.2887700534759358,0.28,0.2129277566539924
azj,847,0.9702127659574468,0.9733333333333333,0.9898628503279666
bak,46,0.7735849056603774,0.7454545454545454,0.719298245614035
bcl,270,0.9068825910931174,0.8979591836734693,0.9046653144016228
ben,1886,0.9058127018299247,0.9197396963123644,0.9474847982310669
bik,1499,0.9073345259391772,0.903825527350733,0.9037300177619895
bre,2348,0.8426745329400196,0.8183642749623684,0.8183642749623684
bul,109,0.5746478873239437,0.5000000000000001,0.4444444444444445
cat,93,0.5337620578778135,0.5123456790123456,0.4387755102040816
ces,933,0.9384615384615386,0.9385964912280701,0.933911159263272
cmn,865,0.8404825737265416,0.8373655913978495,0.8381464069845533
crh,405,0.3790133124510572,0.3558282208588957,0.3637630662020906
deu,7553,0.8453670732631259,0.8446903661032366,0.8464842866832466
ell,7,0.4210526315789474,0.4545454545454545,0.4166666666666667
eng,27461,0.8422305267333348,0.8400175735894057,0.8677403018332827
est,659,0.8326848249027238,0.8005908419497785,0.7874015748031495
ext,7,0.078125,0.07339449541284403,0.15000000000000002
fas,19318,0.9609475719810915,0.9615735522996833,0.9618169142489408
fil,58,0.6979865771812079,0.6582278481012658,0.5977011494252874
fin,1030,0.8429035752979416,0.8754559666492965,0.8830263812842211
fra,3233,0.8628386437212472,0.8640350877192983,0.8804400582430028
fro,39,0.4,0.1095890410958904,0.11764705882352941
fry,965,0.9546165884194053,0.9551616266944734,0.9412365866121616
fuv,37,0.7457627118644068,0.7666666666666667,0.7666666666666667
gaz,11,0.9523809523809523,0.9523809523809523,1.0
gcf,24,0.1724137931034483,0.16033755274261602,0.16033755274261602
gcr,111,0.701923076923077,0.6346153846153847,0.6346153846153847
gla,929,0.9089855072463768,0.9069901790872329,0.9057471264367816
gle,1,0.0,0.0,0.0
gom,338,0.9184,0.9096774193548387,0.886326194398682
grc,1,0.0,0.0,0.0
gug,548,0.89738430583501,0.9072781655034895,0.9223205506391348
guj,948,0.9764957264957265,0.9808306709265177,0.9829242262540021
guw,4,0.20689655172413793,0.19999999999999998,0.19354838709677416
hau,16455,0.9465249177920378,0.9488837224115418,0.9536067803042282
hbo,808,0.7760797342192691,0.7730307076101468,0.7725150100066711
heb,5055,0.9451140551847794,0.9481305167112962,0.9481305167112962
hin,3666,0.8800973828362751,0.8795180722891566,0.9043859649122805
ibo,168,0.9146341463414636,0.9123867069486405,0.8908554572271385
ind,33828,0.8759221107197449,0.8768737860854263,0.8884252033188204
ita,4387,0.8617061731524908,0.8596424496006085,0.8604855956724116
jav,1656,0.8140373893079699,0.8115284974093265,0.802354399008674
jpn,3344,0.9684242795830779,0.9681372549019608,0.9678407350689128
kab,116,0.9113924050632911,0.9113924050632911,0.894308943089431
kan,2554,0.9182732606873428,0.9339954479619285,0.9593495934959351
kik,62,0.8869565217391304,0.9152542372881356,0.9421487603305785
kor,8,0.45714285714285713,0.3720930232558139,0.32
lat,50,0.396039603960396,0.39215686274509803,0.3125
lav,512,0.8704845814977973,0.8588744588744588,0.8265560165975104
lij,147,0.5415778251599147,0.5121951219512195,0.5121951219512195
lin,55,0.0,0.0,0.0
ltg,38,0.6666666666666666,0.6428571428571429,0.6428571428571429
lug,1361,0.9420849420849421,0.9429452582883577,0.9475698430922312
lvs,353,0.9540740740740742,0.9540740740740742,0.9678362573099415
mal,2061,0.9887365328109697,0.9907090464547678,0.9916829745596868
mar,1061,0.8079342041606192,0.820136852394917,0.8363988383349467
mlg,2153,0.9360874848116647,0.9362530413625305,0.9342359767891683
msa,28224,0.8705137108111313,0.8706906734614671,0.8775290355159063
nld,3299,0.9080404429465575,0.9079010375099761,0.9048440194387833
nso,99,0.8613861386138614,0.8374384236453203,0.8292682926829269
nyn,5,0.5714285714285714,0.6153846153846154,0.47058823529411764
oci,1314,0.880648899188876,0.8715596330275228,0.8335694050991501
