label,N,support,f1_baseline,fp_baseline
ace_Arab,6107,1012,0.9281978126485974,115
ace_Latn,47937,1012,0.996031746031746,0
acm_Arab,4566,1012,0.33798604187437686,655
aeb_Arab,25840,1012,0.0,0
afr_Latn,100000,1012,0.9910358565737052,1
als_Latn,100000,1012,0.9985155863433943,0
amh_Ethi,100000,1012,0.995069033530572,7
apc_Arab,79058,1012,0.07197943444730077,113
arb_Arab,100000,1012,0.3356231599607458,1532
arb_Latn,847,1012,0.9980276134122288,4
ars_Arab,18539,1012,0.19843656043295252,1984
ary_Arab,100000,1012,0.467992766726944,1106
arz_Arab,100000,1012,0.009242144177449169,65
asm_Beng,100000,1012,1.0,0
ast_Latn,100000,1012,0.976904176904177,29
awa_Deva,18700,1012,0.4043887147335424,6
ayr_Latn,100000,1012,0.9990108803165183,0
azb_Arab,100000,1012,0.9436325678496869,0
azj_Latn,100000,1012,0.9995056846267919,0
bak_Cyrl,100000,1012,0.9985185185185185,2
bam_Latn,18697,1012,0.6227257123240645,994
ban_Latn,41792,1012,0.9726443768996961,2
bel_Cyrl,100000,1012,0.9995061728395062,1
bem_Latn,100000,1012,0.9930761622156281,6
ben_Beng,100000,1012,0.9975259772389905,1
bho_Deva,55844,1012,0.7806478064780646,475
bjn_Arab,6110,1012,0.9190432382704691,163
bjn_Latn,27655,1012,0.9566046733428708,82
bod_Tibt,45476,1012,0.8552036199095022,0
bug_Latn,14761,1012,0.9945571499257794,4
bul_Cyrl,100000,1012,0.994573260976813,7
cat_Latn,100000,1012,0.9945679012345678,6
ceb_Latn,100000,1012,0.9910269192422733,0
ces_Latn,100000,1012,0.9911678115799805,16
cjk_Latn,100000,1012,0.9315789473684211,3
ckb_Arab,100000,1012,0.9930348258706468,0
crh_Latn,17238,1012,0.9935739001482946,6
cym_Latn,100000,1012,0.9990118577075099,1
dan_Latn,100000,1012,0.9281997918834548,18
deu_Latn,100000,1012,0.9844455594581034,0
dik_Latn,40448,1012,0.9930348258706468,0
dyu_Latn,100000,1012,0.0449438202247191,32
dzo_Tibt,13407,1012,0.8857644991212654,256
ell_Grek,100000,1012,0.9990108803165183,0
eng_Latn,100000,1012,0.9586859133897461,34
