label,n_rows,in_1940_set
apc_Arab,2024,True
cat_Latn,2024,True
lld_Latn,2024,True
nob_Latn,2024,True
oci_Latn,2024,True
twi_Latn,2024,True
ace_Arab,1012,True
ace_Latn,1012,True
acm_Arab,1012,True
aeb_Arab,1012,True
afr_Latn,1012,True
als_Latn,1012,True
amh_Ethi,1012,True
arb_Arab,1012,True
arb_Latn,1012,True
arg_Latn,1012,True
ars_Arab,1012,True
ary_Arab,1012,True
arz_Arab,1012,True
asm_Beng,1012,True
ast_Latn,1012,True
awa_Deva,1012,True
ayr_Latn,1012,True
azb_Arab,1012,True
azj_Latn,1012,True
bak_Cyrl,1012,True
bam_Latn,1012,True
ban_Latn,1012,True
bel_Cyrl,1012,True
bem_Latn,1012,True
ben_Beng,1012,True
bho_Deva,1012,True
bjn_Arab,1012,True
bjn_Latn,1012,True
bod_Tibt,1012,True
bug_Latn,1012,True
bul_Cyrl,1012,True
ceb_Latn,1012,True
ces_Latn,1012,True
chv_Cyrl,1012,True
cjk_Latn,1012,True
ckb_Arab,1012,True
crh_Latn,1012,True
cym_Latn,1012,True
dan_Latn,1012,True
deu_Latn,1012,True
dik_Latn,1012,True
dyu_Latn,1012,True
dzo_Tibt,1012,True
ekk_Latn,1012,True
ell_Grek,1012,True
eng_Latn,1012,True
epo_Latn,1012,True
eus_Latn,1012,True
ewe_Latn,1012,True
fao_Latn,1012,True
fij_Latn,1012,True
fil_Latn,1012,True
fin_Latn,1012,True
fon_Latn,1012,True
fra_Latn,1012,True
fur_Latn,1012,True
fuv_Latn,1012,True
gaz_Latn,1012,True
gla_Latn,1012,True
gle_Latn,1012,True
glg_Latn,1012,True
gug_Latn,1012,True
guj_Gujr,1012,True
hat_Latn,1012,True
hau_Latn,1012,True
heb_Hebr,1012,True
hin_Deva,1012,True
hne_Deva,1012,True
hun_Latn,1012,True
hye_Armn,1012,True
ibo_Latn,1012,True
ilo_Latn,1012,True
ind_Latn,1012,True
isl_Latn,1012,True
ita_Latn,1012,True
jav_Latn,1012,True
jpn_Jpan,1012,True
kaa_Latn,1012,True
kab_Latn,1012,True
kac_Latn,1012,True
kam_Latn,1012,True
kan_Knda,1012,True
kas_Arab,1012,True
kas_Deva,1012,True
kat_Geor,1012,True
kaz_Cyrl,1012,True
kbp_Latn,1012,True
kea_Latn,1012,True
khk_Cyrl,1012,True
khm_Khmr,1012,True
kik_Latn,1012,True
kin_Latn,1012,True
kir_Cyrl,1012,True
kjh_Cyrl,1012,True
kmb_Latn,1012,True
kmr_Latn,1012,True
knc_Arab,1012,True
knc_Latn,1012,True
kor_Hang,1012,True
ktu_Latn,1012,True
lao_Laoo,1012,True
lij_Latn,1012,True
lim_Latn,1012,True
lin_Latn,1012,True
lit_Latn,1012,True
lmo_Latn,1012,True
ltg_Latn,1012,True
ltz_Latn,1012,True
lua_Latn,1012,True
lug_Latn,1012,True
luo_Latn,1012,True
lus_Latn,1012,True
lvs_Latn,1012,True
mag_Deva,1012,True
mai_Deva,1012,True
mal_Mlym,1012,True
mar_Deva,1012,True
mfe_Latn,1012,True
mhr_Cyrl,1012,True
min_Arab,1012,True
min_Latn,1012,True
mkd_Cyrl,1012,True
mlt_Latn,1012,True
mni_Beng,1012,True
mos_Latn,1012,True
mri_Latn,1012,True
mya_Mymr,1012,True
myv_Cyrl,1012,True
nld_Latn,1012,True
nno_Latn,1012,True
npi_Deva,1012,True
nqo_Nkoo,1012,True
nso_Latn,1012,True
nus_Latn,1012,True
nya_Latn,1012,True
ory_Orya,1012,True
pag_Latn,1012,True
pan_Guru,1012,True
pap_Latn,1012,True
pbt_Arab,1012,True
plt_Latn,1012,True
pol_Latn,1012,True
por_Latn,1012,True
quy_Latn,1012,True
ron_Latn,1012,True
run_Latn,1012,True
rus_Cyrl,1012,True
sag_Latn,1012,True
san_Deva,1012,True
sat_Olck,1012,True
scn_Latn,1012,True
shn_Mymr,1012,True
sin_Sinh,1012,True
slk_Latn,1012,True
slv_Latn,1012,True
smo_Latn,1012,True
sna_Latn,1012,True
snd_Arab,1012,True
som_Latn,1012,True
sot_Latn,1012,True
spa_Latn,1012,True
srd_Latn,1012,True
srp_Cyrl,1012,True
ssw_Latn,1012,True
sun_Latn,1012,True
swe_Latn,1012,True
swh_Latn,1012,True
szl_Latn,1012,True
tam_Taml,1012,True
taq_Latn,1012,True
taq_Tfng,1012,True
tat_Cyrl,1012,True
tel_Telu,1012,True
tgk_Cyrl,1012,True
tha_Thai,1012,True
tir_Ethi,1012,True
tpi_Latn,1012,True
tsn_Latn,1012,True
tso_Latn,1012,True
tuk_Latn,1012,True
tum_Latn,1012,True
tur_Latn,1012,True
tyv_Cyrl,1012,True
uig_Arab,1012,True
ukr_Cyrl,1012,True
umb_Latn,1012,True
urd_Arab,1012,True
uzn_Latn,1012,True
vec_Latn,1012,True
vie_Latn,1012,True
vmw_Latn,1012,True
war_Latn,1012,True
wol_Latn,1012,True
xho_Latn,1012,True
ydd_Hebr,1012,True
yor_Latn,1012,True
zgh_Tfng,1012,True
zsm_Latn,1012,True
zul_Latn,1012,True
acq_Arab,1012,False
apd_Arab,1012,False
bos_Latn,1012,False
cmn_Hans,1012,False
cmn_Hant,1012,False
hrv_Latn,1012,False
khk_Mong,1012,False
pes_Arab,1012,False
prs_Arab,1012,False
yue_Hant,1012,False
