label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
ace_Arab,6107,1012,0.9281978126485974,0.9304099142040038,0.9448209099709584,115,110,78
ace_Latn,47937,1012,0.996031746031746,0.9955379276152703,0.9955379276152703,0,1,1
acm_Arab,4566,1012,0.33798604187437686,0.33814874264312467,0.32741398446170916,655,541,495
aeb_Arab,25840,1012,0.0,0.0,0.0,0,0,0
afr_Latn,100000,1012,0.9910358565737052,0.9905425584868094,0.9920477137176937,1,2,2
als_Latn,100000,1012,0.9985155863433943,0.9985155863433943,0.9985155863433943,0,0,0
amh_Ethi,100000,1012,0.995069033530572,0.9931305201177625,0.9931305201177625,7,14,14
apc_Arab,79058,1012,0.07197943444730077,0.0752136752136752,0.0752136752136752,113,114,114
arb_Arab,100000,1012,0.3356231599607458,0.33493743984600577,0.3341788205453392,1532,1583,1615
arb_Latn,847,1012,0.9980276134122288,0.9990108803165183,0.9975235264982666,4,0,0
ars_Arab,18539,1012,0.19843656043295252,0.19708914493632504,0.19708914493632504,1984,1961,1961
ary_Arab,100000,1012,0.467992766726944,0.46685673556664287,0.4584925321292116,1106,1139,1207
arz_Arab,100000,1012,0.009242144177449169,0.01904761904761905,0.018916595012897677,65,132,140
asm_Beng,100000,1012,1.0,1.0,1.0,0,0,0
ast_Latn,100000,1012,0.976904176904177,0.976926853215513,0.974609375,29,30,38
awa_Deva,18700,1012,0.4043887147335424,0.4078125000000001,0.4078125000000001,6,7,7
ayr_Latn,100000,1012,0.9990108803165183,0.9990108803165183,0.9990108803165183,0,0,0
azb_Arab,100000,1012,0.9436325678496869,0.9430809399477806,0.9430809399477806,0,0,0
azj_Latn,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
bak_Cyrl,100000,1012,0.9985185185185185,0.9985185185185185,0.9985185185185185,2,2,2
bam_Latn,18697,1012,0.6227257123240645,0.6227709190672154,0.6227709190672154,994,996,996
ban_Latn,41792,1012,0.9726443768996961,0.9716312056737589,0.9716312056737589,2,3,3
bel_Cyrl,100000,1012,0.9995061728395062,0.9995061728395062,0.9995061728395062,1,1,1
bem_Latn,100000,1012,0.9930761622156281,0.9940652818991097,0.9940652818991097,6,5,5
ben_Beng,100000,1012,0.9975259772389905,0.9975284231339594,0.9990128331688055,1,2,2
bho_Deva,55844,1012,0.7806478064780646,0.7712312068264933,0.7712312068264933,475,500,500
bjn_Arab,6110,1012,0.9190432382704691,0.9190432382704691,0.9258572752548656,163,163,147
bjn_Latn,27655,1012,0.9566046733428708,0.9498580889309366,0.9721271393643033,82,98,39
bod_Tibt,45476,1012,0.8552036199095022,0.8421052631578948,0.8421052631578948,0,0,0
bug_Latn,14761,1012,0.9945571499257794,0.9940652818991097,0.9940476190476191,4,5,2
bul_Cyrl,100000,1012,0.994573260976813,0.994573260976813,0.9945786101527846,7,7,8
cat_Latn,100000,1012,0.9945679012345678,0.9930898321816387,0.9916297390448054,6,8,12
ceb_Latn,100000,1012,0.9910269192422733,0.9915296462381664,0.9915296462381664,0,0,0
ces_Latn,100000,1012,0.9911678115799805,0.9911764705882352,0.9911764705882352,16,17,17
cjk_Latn,100000,1012,0.9315789473684211,0.9420365535248041,0.9447916666666667,3,1,1
ckb_Arab,100000,1012,0.9930348258706468,0.988,0.988,0,0,0
crh_Latn,17238,1012,0.9935739001482946,0.9950592885375494,0.9950592885375494,6,5,5
cym_Latn,100000,1012,0.9990118577075099,0.9990118577075099,0.9995061728395062,1,1,1
dan_Latn,100000,1012,0.9281997918834548,0.9282744282744283,0.9277922077922078,18,19,20
deu_Latn,100000,1012,0.9844455594581034,0.9834254143646408,0.9844455594581034,0,0,0
dik_Latn,40448,1012,0.9930348258706468,0.9950347567030785,0.9950347567030785,0,0,0
dyu_Latn,100000,1012,0.0449438202247191,0.054003724394785846,0.054003724394785846,32,33,33
dzo_Tibt,13407,1012,0.8857644991212654,0.8780487804878049,0.8780487804878049,256,276,276
ell_Grek,100000,1012,0.9990108803165183,0.9990108803165183,0.9995056846267919,0,0,0
eng_Latn,100000,1012,0.9586859133897461,0.957648231190832,0.9597282872392042,34,34,60
epo_Latn,100000,1012,0.998019801980198,0.9985155863433943,0.9995056846267919,0,0,0
eus_Latn,100000,1012,0.9990108803165183,0.9985170538803757,0.9985170538803757,0,1,1
ewe_Latn,100000,1012,0.9869869869869871,0.9910269192422733,0.9910269192422733,0,0,0
fao_Latn,94618,1012,0.9955423476968795,0.996039603960396,0.996039603960396,2,2,2
fij_Latn,100000,1012,0.9965294992563213,0.9965294992563213,0.9965294992563213,0,0,0
fin_Latn,100000,1012,0.9673469387755103,0.9757085020242915,0.9818913480885312,0,0,0
fon_Latn,100000,1012,0.9990108803165183,0.9990108803165183,0.9990108803165183,0,0,0
fra_Latn,100000,1012,0.99203187250996,0.9915380786460926,0.9965329370975731,0,1,1
fur_Latn,46173,1012,0.9985199802664035,0.9990128331688055,0.9990128331688055,3,2,2
fuv_Latn,30578,1012,0.9673469387755103,0.9746707193515703,0.9746707193515703,0,0,0
gaz_Latn,100000,1012,0.9970267591674926,0.9970267591674926,0.9995056846267919,0,0,0
gla_Latn,100000,1012,0.9990118577075099,0.9990118577075099,0.9995061728395062,1,1,1
gle_Latn,100000,1012,0.9990108803165183,0.9995056846267919,0.9990118577075099,0,0,1
glg_Latn,100000,1012,0.9765625,0.9765853658536585,0.9742092457420923,36,37,42
guj_Gujr,100000,1012,1.0,1.0,1.0,0,0,0
hat_Latn,100000,1012,0.9965329370975731,0.9970326409495549,0.9970355731225297,1,2,3
hau_Latn,100000,1012,0.9980237154150198,0.9980237154150198,0.9975333004440058,2,2,4
heb_Hebr,100000,1012,0.9990108803165183,0.9995056846267919,0.9995056846267919,0,0,0
hin_Deva,100000,1012,0.7832047986289631,0.7691659646166807,0.7382075471698113,408,449,593
hne_Deva,50507,1012,0.8203723986856517,0.8175895765472313,0.8175895765472313,65,77,77
hun_Latn,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
hye_Armn,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
ibo_Latn,100000,1012,0.9975308641975308,0.9897109260166586,0.9897109260166586,3,19,19
ilo_Latn,100000,1012,0.9975235264982666,0.998019801980198,0.9985155863433943,0,0,0
ind_Latn,100000,1012,0.8433847592332866,0.842203548085901,0.8435625288417167,225,228,241
isl_Latn,100000,1012,0.9965466206216081,0.9965466206216081,0.9965466206216081,5,5,5
ita_Latn,100000,1012,0.9970326409495549,0.9965363681345868,0.9960435212660732,2,2,3
jav_Latn,100000,1012,0.987279843444227,0.9786614936954412,0.9674017257909876,23,41,65
jpn_Jpan,100000,1012,1.0,1.0,1.0,0,0,0
kab_Latn,100000,1012,0.8958794860434205,0.8962765957446809,0.8946902654867257,234,233,237
kac_Latn,100000,1012,0.9995056846267919,1.0,1.0,0,0,0
kam_Latn,100000,1012,0.8577878103837471,0.8805309734513275,0.8836183121897407,0,0,0
kan_Knda,100000,1012,0.9935355544505221,0.9955334987593053,0.9965294992563213,0,0,0
kas_Arab,10408,1012,0.9930693069306931,0.990561351217089,0.973630831643002,5,4,0
kas_Deva,7226,1012,0.9763170613823102,0.9720885466794995,0.9810034096444228,47,56,34
kat_Geor,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
kaz_Cyrl,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
kbp_Latn,100000,1012,0.9970267591674926,0.9970267591674926,0.998019801980198,0,0,0
kea_Latn,100000,1012,0.9767441860465117,0.9782937910146391,0.9798590130916415,0,0,1
khk_Cyrl,100000,1012,1.0,1.0,1.0,0,0,0
khm_Khmr,100000,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
kik_Latn,100000,1012,0.9595765158806544,0.9645593869731801,0.9645593869731801,69,69,69
kin_Latn,100000,1012,0.9226160758861708,0.9206982543640898,0.9212362911266201,67,70,70
kir_Cyrl,100000,1012,0.9985185185185185,0.9985185185185185,0.9985185185185185,2,2,2
kmb_Latn,100000,1012,0.9846000993541977,0.9841897233201581,0.9842053307008884,10,16,17
kmr_Latn,100000,1012,0.9772612430520464,0.9751898734177215,0.9751898734177215,0,0,0
knc_Arab,6113,1012,0.7025641025641025,0.7017318794098781,0.7008985879332478,0,0,0
knc_Latn,9356,1012,0.9891838741396264,0.9872922776148583,0.9906725576828669,16,24,16
kor_Hang,100000,1012,1.0,1.0,1.0,0,0,0
lao_Laoo,33981,1012,1.0,1.0,1.0,0,0,0
lij_Latn,35338,1012,0.9955599407992106,0.995069033530572,0.995069033530572,6,7,7
lim_Latn,100000,1012,0.9801587301587301,0.9797130133597229,0.9787654320987654,16,19,22
lin_Latn,100000,1012,0.9970267591674926,0.9975235264982666,0.9975235264982666,0,0,0
lit_Latn,100000,1012,0.9915296462381664,0.9915296462381664,0.994535519125683,0,0,0
lmo_Latn,58536,1012,0.9871414441147379,0.9866666666666666,0.9866666666666666,12,14,14
ltg_Latn,14559,1012,0.9921568627450981,0.9931305201177625,0.9931170108161258,16,14,12
ltz_Latn,100000,1012,0.9990118577075099,0.9990118577075099,0.9985185185185185,1,1,2
lua_Latn,100000,1012,0.9859719438877755,0.9864797195793691,0.9864797195793691,0,0,0
lug_Latn,100000,1012,0.992039800995025,0.9925484351713859,0.9930486593843098,1,2,2
luo_Latn,100000,1012,0.9955334987593053,0.996031746031746,0.9970267591674926,0,0,0
lus_Latn,100000,1012,0.9885057471264368,0.989010989010989,0.9910269192422733,0,0,0
lvs_Latn,100000,1012,0.9925335988053758,0.9930348258706468,0.9940417080436941,0,0,1
mag_Deva,12847,1012,0.8430709802028006,0.8350465002447383,0.8413583375570198,186,178,131
mai_Deva,43579,1012,0.9359916054564533,0.9367485624673287,0.9367485624673287,2,5,5
mal_Mlym,100000,1012,1.0,1.0,1.0,0,0,0
mar_Deva,100000,1012,0.998019801980198,0.9985155863433943,0.9985155863433943,0,0,0
min_Arab,847,1012,0.962292609351433,0.9636363636363636,0.9635995955510616,20,14,13
min_Latn,100000,1012,0.9885401096163429,0.9870517928286853,0.9846762234305487,3,5,15
mkd_Cyrl,100000,1012,0.9940652818991097,0.9940652818991097,0.9940652818991097,5,5,5
mlt_Latn,100000,1012,0.9995061728395062,0.9995061728395062,0.9995061728395062,1,1,1
mni_Beng,41766,1012,0.9995056846267919,0.9990108803165183,0.9990108803165183,0,0,0
mos_Latn,100000,1012,0.9485714285714286,0.959917780061665,0.9647058823529412,0,0,0
mri_Latn,73030,1012,0.996031746031746,0.9970267591674926,0.9970267591674926,0,0,0
mya_Mymr,100000,1012,1.0,1.0,1.0,0,0,0
nld_Latn,100000,1012,0.9716312056737589,0.9747474747474747,0.9804118533400301,3,3,3
nno_Latn,100000,1012,0.9323741007194245,0.9294964028776977,0.92816091954023,101,104,107
nob_Latn,100000,1012,0.8923225494929985,0.889855072463768,0.8903911154031868,135,137,137
npi_Deva,100000,1012,0.9083063646170443,0.923404255319149,0.950207468879668,0,0,0
nso_Latn,100000,1012,0.9808165272995573,0.9788489916379735,0.9798525798525799,24,26,26
nus_Latn,14391,1012,0.9995056846267919,0.9995056846267919,0.9995056846267919,0,0,0
nya_Latn,100000,1012,0.9915966386554622,0.9916132215096202,0.9921104536489153,8,10,10
oci_Latn,100000,1012,0.9960435212660732,0.9960435212660732,0.9945679012345678,3,3,6
ory_Orya,100000,1012,1.0,1.0,1.0,0,0,0
pag_Latn,100000,1012,0.9788092835519677,0.980352644836272,0.9819095477386934,0,0,1
pan_Guru,100000,1012,1.0,1.0,1.0,0,0,0
