label,n_rows,in_1940_set
roh_Latn,399,True
oci_Latn,398,True
cmn_Hani,363,True
krl_Latn,183,True
qug_Latn,182,True
acu_Latn,180,True
hus_Latn,175,True
hau_Latn,155,True
auc_Latn,154,True
kwi_Latn,145,True
jpn_Jpan,143,True
snn_Latn,136,True
ktu_Latn,118,True
lat_Latn,118,True
hat_Latn,117,True
rmn_Latn,116,True
twi_Latn,116,True
ell_Grek,116,True
kmb_Latn,116,True
nya_Latn,116,True
chr_Cher,115,True
por_Latn,115,True
pov_Latn,115,True
lvs_Latn,115,True
kng_Latn,115,True
tha_Thai,114,True
cjk_Latn,114,True
tso_Latn,114,True
lin_Latn,110,True
fuv_Latn,108,True
urd_Arab,108,True
umb_Latn,107,True
mal_Mlym,100,True
ron_Latn,97,True
ven_Latn,89,True
spa_Latn,78,True
hye_Armn,71,True
tam_Taml,69,True
deu_Latn,67,True
tiv_Latn,67,True
pam_Latn,66,True
sun_Latn,66,True
njo_Latn,64,True
knc_Latn,64,True
smo_Latn,63,True
skr_Arab,63,True
jav_Java,62,True
gla_Latn,62,True
cbi_Latn,62,True
shp_Latn,62,True
mcf_Latn,62,True
nob_Latn,62,True
ace_Latn,61,True
pnb_Arab,61,True
dan_Latn,61,True
zgh_Tfng,61,True
fin_Latn,61,True
sey_Latn,61,True
boa_Latn,61,True
swe_Latn,61,True
amr_Latn,61,True
cot_Latn,60,True
vie_Latn,60,True
bod_Tibt,60,True
arl_Latn,60,True
afr_Latn,60,True
tbz_Latn,60,True
ssw_Latn,60,True
bug_Latn,60,True
mad_Latn,60,True
quy_Latn,60,True
ekk_Latn,60,True
war_Latn,60,True
ind_Latn,60,True
jav_Latn,60,True
cpu_Latn,60,True
mcd_Latn,60,True
jiv_Latn,60,True
ban_Latn,60,True
hin_Deva,60,True
udu_Latn,60,True
gjn_Latn,60,True
tca_Latn,60,True
ctd_Latn,60,True
cym_Latn,60,True
cbr_Latn,60,True
qvm_Latn,60,True
gaz_Latn,60,True
zam_Latn,60,True
wol_Latn,60,True
sna_Latn,60,True
ton_Latn,60,True
cab_Latn,60,True
fij_Latn,59,True
fur_Latn,59,True
maz_Latn,59,True
ayr_Latn,59,True
kdh_Latn,59,True
pol_Latn,59,True
ydd_Hebr,59,True
cos_Latn,59,True
gag_Latn,59,True
kbp_Latn,59,True
top_Latn,59,True
nav_Latn,59,True
ame_Latn,59,True
hun_Latn,59,True
srp_Cyrl,59,True
min_Latn,59,True
uig_Latn,59,True
tob_Latn,59,True
hns_Latn,59,True
dzo_Tibt,59,True
ewe_Latn,59,True
men_Latn,59,True
kqn_Latn,59,True
nzi_Latn,59,True
ltz_Latn,59,True
cjs_Cyrl,59,True
nba_Latn,59,True
chj_Latn,59,True
ajg_Latn,59,True
dga_Latn,59,True
mor_Latn,59,True
