label,n_rows
lot_Latn,140
ibb_Latn,67
ccp_Cakm,62
vai_Vaii,61
tgl_Latn,60
cic_Latn,60
src_Latn,59
orh_Latn,59
cnr_Latn,59
bos_Cyrl,59
pbu_Arab,59
bos_Latn,59
ppl_Latn,59
oki_Latn,59
hms_Latn,59
gld_Cyrl,59
mxi_Latn,58
cjy_Hani,58
hrv_Latn,58
que_Latn,58
gan_Hani,58
emk_Latn,58
rgn_Latn,58
ztu_Latn,58
bax_Latn,58
nan_Hani,58
mzi_Latn,58
hea_Latn,58
fuf_Adlm,58
slr_Latn,58
nhn_Latn,58
pes_Arab,58
oaa_Cyrl,58
hsn_Hani,58
zlm_Latn,58
snk_Latn,58
fvr_Latn,57
evn_Cyrl,57
buc_Latn,57
csa_Latn,57
hni_Latn,57
tdt_Latn,57
iii_Yiii,57
piu_Latn,57
duu_Latn,57
aar_Latn,57
lns_Latn,57
zro_Latn,56
gkp_Latn,56
amc_Latn,56
niv_Cyrl,56
prs_Arab,56
guk_Latn,55
blt_Tavt,55
qxu_Latn,54
nku_Latn,52
san_Gran,51
kkh_Lana,51
ykg_Cyrl,51
ijs_Latn,50
nym_Latn,49
bfa_Latn,42
zlm_Arab,24
tgl_Tglg,1
