rule,switched,all,tail,lowmid,head,flat_magnet,twin,FP_tail,FP_magnet,errors
floor21 (no gate),0,0.9303,0.623,0.9351,0.959,0.527,0.886,3630,126301,693446
floor21_gate (recorded),96095,0.9478,0.733,0.9593,0.9586,0.6434,0.8921,1256,79131,641416
"shared threshold 3 nats, target N>=18k",96504,0.9455,0.7174,0.9576,0.957,0.6309,0.8909,1911,81191,636288
"shared threshold 5 nats, target N>=18k",123280,0.9507,0.7488,0.9655,0.9562,0.6672,0.8926,1385,68073,622697
"shared threshold 7 nats, target N>=18k",137931,0.9527,0.7536,0.9695,0.9557,0.6794,0.8933,1051,60779,616804
"shared threshold 9 nats, target N>=18k",146846,0.953,0.7433,0.9714,0.9553,0.6763,0.8933,811,56485,614566
"shared threshold 10 nats, target N>=18k",150283,0.9529,0.74,0.9718,0.9551,0.6744,0.8933,705,54970,614116
"shared threshold 12 nats, target N>=18k",155892,0.9527,0.7361,0.972,0.9548,0.6731,0.8923,543,52657,614080
"shared threshold 15 nats, target N>=18k",162271,0.9516,0.7306,0.9708,0.9543,0.6672,0.891,351,50654,615131
"shared threshold 5 nats, target N>=100k",111073,0.9483,0.7212,0.9612,0.9588,0.6444,0.8927,1769,70211,617765
"shared threshold 10 nats, target N>=100k",136929,0.9514,0.7181,0.9677,0.9587,0.6558,0.8954,1180,56506,605971
"shared threshold 15 nats, target N>=100k",147390,0.9507,0.7068,0.9675,0.9586,0.646,0.8962,869,51939,604843
"length-scaled threshold 10*(chars/100)^0.5, target N>=18k",135925,0.9512,0.7409,0.9677,0.9558,0.6714,0.8909,1232,62469,616981
"length-scaled threshold 10*(chars/100)^1.0, target N>=18k",111319,0.9433,0.6822,0.9571,0.9568,0.6106,0.887,1942,75117,627264
