lang,T,n1,n_types,plateau_size,plateau_mass,floor,plateau_types_used,corpus_lines,empty_lines
aai_Latn,1002861,142,4241,90652,1.72779264e-03,-17.775694,167,24580,0
aak_Latn,1889427,106,2826,94906,9.55214354e-04,-18.414217,215,24062,0
aau_Latn,1374638,130,3227,93046,1.30776114e-03,-18.080288,231,24485,0
aaz_Latn,1275045,284,4302,91172,1.36780272e-03,-18.015053,296,20777,0
aba_Latn,475054,1198,4413,91078,3.64789945e-03,-17.033075,77,18107,0
abi_Latn,353653,708,3538,92849,4.95351583e-03,-16.746387,94,6735,0
abk_Cyrl,3431447,106,1792,97300,5.29864088e-04,-19.028444,41,100000,0
abn_Latn,1277826,1310,6173,88579,1.32963918e-03,-18.014498,164,47050,0
abq_Cyrl,5521,276,695,98792,1.26673706e-01,-13.566913,10,141,0
abs_Latn,50344,2074,5132,88829,2.89113019e-02,-14.937991,27,1335,0
abt_Latn,3106229,86,3244,92475,5.79009379e-04,-18.888885,220,46820,0
abx_Latn,790955,245,4782,90418,2.19949345e-03,-17.531727,168,17721,0
aby_Latn,1137744,58,2350,94277,1.59144986e-03,-17.897102,107,21889,0
abz_Latn,267386,1360,5726,87772,6.13672625e-03,-16.475962,70,13333,0
aca_Latn,357192,252,2704,94075,4.95768906e-03,-16.758663,68,7493,0
acd_Latn,989981,167,2744,93469,1.82642111e-03,-17.750782,130,17727,0
ace_Arab,345038,260,1640,98117,5.12138805e-03,-16.768246,244,6107,0
ace_Latn,2208185,2357,12507,79644,6.92249305e-04,-18.560886,834,47937,0
acf_Latn,1311935,665,3845,91785,1.35963087e-03,-18.027746,212,34818,0
ach_Latn,1099703,814,6376,87829,1.52086936e-03,-17.871620,266,42880,0
acm_Arab,97146,280,1651,98011,1.72929059e-02,-15.550294,115,4566,0
acn_Latn,833791,135,2587,94176,2.18495942e-03,-17.579079,138,17803,0
acr_Latn,3515624,437,6686,86461,4.74343035e-04,-19.021029,276,67975,0
acu_Latn,1166857,394,3929,91205,1.49179189e-03,-17.928642,218,24513,0
ada_Latn,2307797,1143,5920,88374,7.44859451e-04,-18.591648,330,100000,0
ade_Latn,679154,277,2961,93445,2.65395912e-03,-17.376831,122,13525,0
adh_Latn,771321,428,5441,88689,2.19230338e-03,-17.515694,138,23111,0
adi_Latn,1213064,931,6237,87406,1.38443941e-03,-17.960779,190,30503,0
adj_Latn,862247,234,2984,93629,2.06118655e-03,-17.631569,153,17702,0
adl_Latn,515691,580,3667,91209,3.38228967e-03,-17.110111,119,11055,0
ady_Cyrl,328380,642,2524,96316,5.40789116e-03,-16.695286,317,5894,0
adz_Latn,153782,97,2254,95066,1.13052828e-02,-15.944812,51,3796,0
aeb_Arab,994815,328,2385,97440,1.83265360e-03,-17.788982,369,25840,0
aer_Latn,881596,466,2867,94608,2.03092515e-03,-17.656761,249,12314,0
aeu_Latn,1106082,100,1545,97347,1.70475899e-03,-17.860369,153,17719,0
aey_Latn,1226156,180,4077,91070,1.43653536e-03,-17.964905,129,25992,0
afr_Latn,3502185,2056,10721,82026,4.48243594e-04,-19.024965,744,100000,0
agd_Latn,1537884,97,3276,93331,1.16419543e-03,-18.199633,193,31162,0
agg_Latn,1552136,147,2948,93472,1.16460957e-03,-18.200787,244,24084,0
agm_Latn,2104499,103,3175,93466,8.45068207e-04,-18.521446,258,24380,0
agn_Latn,738373,237,4360,90891,2.34720399e-03,-17.471947,180,17794,0
agr_Latn,1463818,605,4904,89637,1.16608014e-03,-18.157631,215,32209,0
