lang,script,N,logN,H,zH,peak,k_close,d_nn,nn_lang,d_up,target_lang,up_resratio,support_val,fp_val,magnet_ratio,category
aai_Latn,Latn,24580,4.391,2.8632,0.172,0.2,44,0.875,ubr_Latn,0.875,ubr_Latn,0.9088,7,0,0.0,head
aak_Latn,Latn,24062,4.381,2.7374,-1.589,0.2,0,1.0136,tpn_Latn,1.2836,agm_Latn,0.987,20,0,0.0,head
aau_Latn,Latn,24485,4.389,2.811,-0.56,0.2,5,0.968,mgm_Latn,1.2171,diq_Latn,0.873,5,0,0.0,head
aaz_Latn,Latn,20777,4.318,2.87,0.266,0.2,35,0.6453,aoz_Latn,1.0935,bjn_Latn,0.7513,13,0,0.0,head
aba_Latn,Latn,18107,4.258,2.8095,-0.58,0.2,43,0.839,mev_Latn,1.0908,ajg_Latn,0.6197,16,2,0.118,head
abi_Latn,Latn,6735,3.828,2.8745,0.329,0.2,57,0.8351,mev_Latn,0.9132,aha_Latn,0.4451,8,0,0.0,mid
abk_Cyrl,Cyrl,100000,5.0,2.6875,-2.402,0.2,8,0.8949,abq_Cyrl,,,,1228,0,0.0,head
abn_Latn,Latn,47050,4.673,2.7961,-0.768,0.2,32,0.9465,kdr_Latn,1.0607,oke_Latn,0.9219,50,2,0.039,head
abq_Cyrl,Cyrl,141,2.152,3.6079,9.733,0.2,319,0.228,ldn_Latn,0.252,lbe_Cyrl,0.7747,0,0,0.0,flat_magnet
abs_Latn,Latn,1335,3.126,3.2228,5.203,0.2,639,0.3601,max_Latn,0.4233,mui_Latn,0.5154,2,43,14.333,flat_magnet
abt_Latn,Latn,46820,4.67,2.783,-0.952,0.2,1,0.9934,wos_Latn,1.1797,jav_Latn,0.4682,16,0,0.0,head
abx_Latn,Latn,17721,4.249,2.9316,1.129,0.2,79,0.7889,hil_Latn,0.7889,hil_Latn,0.1772,13,0,0.0,mid
aby_Latn,Latn,21889,4.34,2.8044,-0.651,0.2,5,0.631,yrb_Latn,1.2013,kqc_Latn,0.9822,4,0,0.0,head
abz_Latn,Latn,13333,4.125,2.95,1.386,0.2,208,0.6449,ind_Latn,0.6449,ind_Latn,0.1333,12,14,1.077,mid
aca_Latn,Latn,7493,3.875,2.8401,-0.153,0.2,46,0.8483,tzl_Latn,0.9338,pio_Latn,0.4289,9,0,0.0,mid
acd_Latn,Latn,17727,4.249,2.7708,-1.121,0.2,1,0.9272,mev_Latn,1.0588,bam_Latn,0.9481,14,0,0.0,mid
ace_Arab,Arab,6107,3.786,2.8393,-0.017,0.2,45,0.1031,bjn_Arab,0.1031,bjn_Arab,0.9995,8,5,0.556,twin
ace_Latn,Latn,47937,4.681,2.9268,1.061,0.2,129,0.6291,sun_Latn,0.6291,sun_Latn,0.4794,46,2,0.043,head
acf_Latn,Latn,34818,4.542,2.7991,-0.726,0.2,18,0.3139,gcf_Latn,0.3139,gcf_Latn,0.5167,18,0,0.0,head
ach_Latn,Latn,42880,4.632,2.9048,0.753,0.2,79,0.3864,laj_Latn,0.6958,alz_Latn,0.4622,28,1,0.034,head
acm_Arab,Arab,4566,3.66,2.9701,2.721,0.2,84,0.0583,ars_Arab,0.0583,ars_Arab,0.2463,7,46,5.75,flat_magnet
acn_Latn,Latn,17803,4.251,2.7833,-0.946,0.2,15,0.9356,kas_Latn,1.2264,bjn_Latn,0.6438,6,0,0.0,mid
acr_Latn,Latn,67975,4.832,2.9188,0.95,0.2,18,0.3172,quc_Latn,0.3172,quc_Latn,0.6797,40,0,0.0,head
acu_Latn,Latn,24513,4.389,2.8681,0.24,0.2,36,0.3428,hub_Latn,0.6744,agr_Latn,0.7611,12,0,0.0,head
ada_Latn,Latn,100000,5.0,2.7501,-1.411,0.2,13,0.6903,gaa_Latn,,,,183,1,0.005,head
ade_Latn,Latn,13525,4.131,2.7963,-0.765,0.2,22,0.9242,eto_Latn,1.1255,bam_Latn,0.7234,10,0,0.0,mid
adh_Latn,Latn,23111,4.364,2.9204,0.972,0.2,91,0.6125,luo_Latn,0.6125,luo_Latn,0.2311,17,0,0.0,head
adi_Latn,Latn,30503,4.484,2.883,0.448,0.2,52,0.8899,asm_Latn,0.9862,jav_Latn,0.305,31,0,0.0,head
adj_Latn,Latn,17702,4.248,2.7811,-0.978,0.2,23,0.9022,kdr_Latn,1.1755,bam_Latn,0.9468,17,0,0.0,mid
adl_Latn,Latn,11055,4.044,2.8246,-0.369,0.2,37,0.8998,kdr_Latn,1.0335,adi_Latn,0.3624,12,0,0.0,mid
ady_Cyrl,Cyrl,5894,3.77,2.837,-0.431,0.2,62,0.3315,kbd_Cyrl,0.3315,kbd_Cyrl,0.1274,8,0,0.0,mid
adz_Latn,Latn,3796,3.579,2.9012,0.703,0.2,81,0.7519,kdr_Latn,0.9926,tel_Latn,0.9396,3,0,0.0,mid
aeb_Arab,Arab,25840,4.412,2.8422,0.043,0.2,22,0.2391,ary_Arab,0.2391,ary_Arab,0.2584,27,9,0.321,head
aer_Latn,Latn,12314,4.09,2.7866,-0.9,0.2,9,0.8028,aly_Latn,1.2698,sco_Latn,0.1408,17,0,0.0,mid
aeu_Latn,Latn,17719,4.248,2.7104,-1.968,0.2,0,1.0364,kas_Latn,1.284,vro_Latn,0.3464,8,0,0.0,mid
aey_Latn,Latn,25992,4.415,2.8101,-0.572,0.2,14,0.9591,tzl_Latn,1.1088,sun_Latn,0.2599,11,0,0.0,head
afr_Latn,Latn,100000,5.0,2.908,0.798,0.2,159,0.3108,nld_Latn,,,,1223,21,0.017,head
