lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
aai_Latn,24580,False,0.9840368925150763,41,0.9854351687388988,37,0.9854351687388988,37,1391
aak_Latn,24062,False,0.9996418338108882,2,0.9994628469113698,3,0.9994628469113698,3,2791
aau_Latn,24485,False,0.9988709070380127,3,0.9992469879518072,2,0.9992469879518072,2,1327
aaz_Latn,20777,False,0.9923857868020305,28,0.9933943089430893,24,0.9933943089430893,24,1957
aba_Latn,18107,False,0.9625990491283677,155,0.9401021513697569,306,0.9401021513697569,306,3118
abi_Latn,6735,False,0.99830220713073,3,0.9978786593126856,4,0.9982978723404256,0,1177
abk_Cyrl,100000,False,0.996418614139674,65,0.9963526235494935,64,0.9966279760151198,73,221310
abn_Latn,47050,False,0.9840474298637002,161,0.9819490181729479,197,0.9819490181729479,197,8150
abq_Cyrl,141,False,0.5882352941176471,34,0.9433962264150944,2,0.9433962264150944,2,26
abs_Latn,1335,False,0.13755325623858794,2826,0.2612342720191732,1217,0.6496,188,234
abt_Latn,46820,False,0.9952749140893471,10,0.9952749140893471,10,0.9952749140893471,10,2329
abx_Latn,17721,False,0.9131751640585564,343,0.9199084668192219,314,0.9882417281925076,40,1810
aby_Latn,21889,False,0.9942756494936151,13,0.9955908289241623,10,0.9955908289241623,10,1129
abz_Latn,13333,False,0.7633959638135003,1273,0.7590507535077082,1301,0.9257490230134608,193,2281
aca_Latn,7493,False,0.9924471299093656,20,0.9943246311010215,15,0.9965766451122099,5,1314
acd_Latn,17727,False,0.9983663096750771,9,0.9989098837209303,5,0.9992727272727273,2,2750
ace_Arab,6107,False,0.7052303429165224,799,0.7244318181818181,726,0.8653927813163481,266,1070
ace_Latn,47937,False,0.9631894185175942,170,0.9601494396014945,211,0.9601494396014945,211,8139
acf_Latn,34818,False,0.9372536136662287,199,0.9378084896347483,192,0.9378084896347483,192,3036
ach_Latn,42880,False,0.9902800658978583,54,0.990112063282795,53,0.990112063282795,53,6075
acm_Arab,4566,False,0.12170385395537527,7539,0.15264527320034693,5595,0.17004317502490865,4715,795
acn_Latn,17803,False,0.9977103606182027,7,0.9982817869415808,5,0.9997132205334098,0,1744
acr_Latn,67975,False,0.9138102334823646,940,0.9120327320066952,969,0.9120327320066952,969,7806
acu_Latn,24513,False,0.9894022891055532,32,0.9889737065309585,32,0.9889737065309585,32,2352
ada_Latn,100000,False,0.9943495400788436,125,0.993320235756385,257,0.9922067737350302,355,30487
ade_Latn,13525,False,0.9995766299745978,2,0.9995766299745978,2,0.9997882701672666,1,2361
adh_Latn,23111,False,0.9789493646880334,95,0.9791112799088493,91,0.9791112799088493,91,2597
adi_Latn,30503,False,0.9837194157596055,143,0.9848075309907726,127,0.9848075309907726,127,5319
adj_Latn,17702,False,0.9961089494163424,13,0.9967553536664505,9,0.9975645396980029,4,3083
adl_Latn,11055,False,0.9966537966537966,10,0.9971671388101984,8,0.9987103430487491,2,1939
ady_Cyrl,5894,False,0.9561068702290076,74,0.956563245823389,73,0.9667149059334298,51,1020
adz_Latn,3796,False,0.9621212121212122,19,0.9731800766283525,13,0.9902534113060429,4,255
aeb_Arab,25840,False,0.37624851095024286,4336,0.37191650853889946,4485,0.37191650853889946,4485,4524
aer_Latn,12314,False,0.9983694386210109,3,0.9986020503261883,2,0.9981351981351981,2,2147
aeu_Latn,17719,False,0.9994011976047905,2,0.9997005091344713,1,0.9997005091344713,1,1669
aey_Latn,25992,False,0.9919770773638968,25,0.9922613929492691,24,0.9922613929492691,24,1734
afr_Latn,100000,False,0.9825241738220568,3186,0.9824938624219766,3419,0.9821211205989219,3910,218523
agd_Latn,31162,False,0.9940298507462687,19,0.9949208246190617,16,0.9949208246190617,16,1666
agg_Latn,24084,False,0.9988376598217745,2,0.9984508133230053,3,0.9984508133230053,3,1290
agm_Latn,24380,False,0.9988942130482861,3,0.9985261606484893,4,0.9985261606484893,4,1355
agn_Latn,17794,False,0.9666666666666667,127,0.9706524375454766,110,0.9920595533498759,19,2012
agr_Latn,32209,False,0.994919021911718,25,0.9946031746031746,27,0.9946031746031746,27,3140
agt_Latn,16997,False,0.9907918968692448,27,0.9923147863510605,22,0.9962940086473131,8,1617
agu_Latn,22058,False,0.9957369062119367,13,0.9960402071276272,12,0.9960402071276272,12,1636
agw_Latn,39173,False,0.9937494338255276,64,0.9942908926144086,59,0.9942908926144086,59,5490
