lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
aai_Latn,24580,False,0.9825296995108315,22,0.9832167832167832,21,0.9832167832167832,21,706
aak_Latn,24062,False,1.0,0,1.0,0,1.0,0,1555
aau_Latn,24485,False,0.9992429977289932,1,0.9992429977289932,1,0.9992429977289932,1,660
aaz_Latn,20777,False,0.9918465227817747,16,0.9937530033637674,12,0.9937530033637674,12,1035
aba_Latn,18107,False,0.9589887640449439,100,0.9373970345963756,182,0.9373970345963756,182,1753
abi_Latn,6735,False,0.9966159052453469,3,0.9957734573119189,4,0.9974511469838573,0,590
abk_Cyrl,100000,False,0.9963594529340085,40,0.9963062483442455,39,0.996598832480204,46,132564
abn_Latn,47050,False,0.984771573604061,99,0.982430756510955,122,0.982430756510955,122,4801
abq_Cyrl,141,False,0.34285714285714286,23,0.923076923076923,1,0.923076923076923,1,6
abs_Latn,1335,False,0.038812785388127845,1682,0.08098159509202453,746,0.30939226519337015,117,36
abt_Latn,46820,False,0.9957446808510638,4,0.9957446808510638,4,0.9957446808510638,4,1294
abx_Latn,17721,False,0.9103322712790168,197,0.9191176470588236,176,0.9861660079051383,26,1000
aby_Latn,21889,False,0.9922212618841831,9,0.993939393939394,7,0.993939393939394,7,574
abz_Latn,13333,False,0.7492182614133833,752,0.7453300124533001,767,0.9252782193958664,104,1248
aca_Latn,7493,False,0.993993993993994,8,0.9962377727614748,5,0.999245283018868,1,662
acd_Latn,17727,False,0.9980327868852459,6,0.9983590416803414,4,0.9990147783251232,2,1522
ace_Arab,6107,False,0.6697736351531292,472,0.6909340659340659,426,0.8583617747440273,142,527
ace_Latn,47937,False,0.9637673368455005,106,0.9601974037120481,133,0.9601974037120481,133,4713
acf_Latn,34818,False,0.931054131054131,128,0.9323823109843081,123,0.9323823109843081,123,1748
ach_Latn,42880,False,0.9906488275068336,28,0.9905090595340811,30,0.9905090595340811,30,3480
acm_Arab,4566,False,0.09941520467836257,4507,0.12623074981065388,3343,0.14244016345592528,2814,368
acn_Latn,17803,False,0.9978632478632479,3,0.9983965793693211,2,0.9994649545211343,0,935
acr_Latn,67975,False,0.9155301828945978,540,0.9134655972984381,559,0.9134655972984381,559,4589
acu_Latn,24513,False,0.9900383141762452,13,0.9896591344312524,14,0.9896591344312524,14,1305
ada_Latn,100000,False,0.9945966702323157,77,0.9934933566624746,157,0.9922785190035743,216,18251
ade_Latn,13525,False,0.9992217898832686,2,0.9992217898832686,2,0.9996107434799533,1,1284
adh_Latn,23111,False,0.9770034843205575,58,0.9786936779601817,52,0.9786936779601817,52,1410
adi_Latn,30503,False,0.9846301633045148,79,0.9855584082156612,69,0.9855584082156612,69,3092
adj_Latn,17702,False,0.996483001172333,7,0.9970674486803519,5,0.9979454065159965,2,1705
adl_Latn,11055,False,0.9970817120622569,4,0.9965969859017988,5,0.9985387238188017,1,1027
ady_Cyrl,5894,False,0.9470644850818094,48,0.946153846153846,49,0.9581304771178188,36,499
adz_Latn,3796,False,0.9056603773584906,10,0.9411764705882353,6,0.9795918367346939,2,48
aeb_Arab,25840,False,0.37261886324918686,2653,0.3690803544149099,2737,0.3690803544149099,2737,2601
aer_Latn,12314,False,0.998256320836966,2,0.998256320836966,2,0.9978194505015264,2,1147
aeu_Latn,17719,False,0.9988636363636363,2,0.9994314951677089,1,0.9994314951677089,1,879
aey_Latn,25992,False,0.9917808219178083,15,0.9923245614035089,14,0.9923245614035089,14,905
afr_Latn,100000,False,0.9824663291622886,1927,0.9823895818384453,2079,0.9820827856829913,2364,131230
agd_Latn,31162,False,0.9927737632017788,13,0.9933259176863182,12,0.9933259176863182,12,893
agg_Latn,24084,False,0.9977220956719818,2,0.9977220956719818,2,0.9977220956719818,2,658
agm_Latn,24380,False,0.9992779783393501,1,0.9985569985569985,2,0.9985569985569985,2,692
agn_Latn,17794,False,0.9608888888888889,80,0.9660411081322609,68,0.9908172635445363,10,1089
agr_Latn,32209,False,0.9947916666666666,14,0.9947916666666666,14,0.9947916666666666,14,1723
agt_Latn,16997,False,0.9908987485779295,13,0.9931584948688712,9,0.9959931310818546,3,874
agu_Latn,22058,False,0.9935934769947582,11,0.9941724941724942,10,0.9941724941724942,10,853
agw_Latn,39173,False,0.994291004474618,37,0.9949050486336267,33,0.9949050486336267,33,3222
agx_Cyrl,1958,False,0.6637931034482759,76,0.7623762376237624,46,0.9221556886227545,11,79
aha_Latn,15133,False,0.9931412894375858,15,0.9928008227631129,16,0.9968933379357956,0,1453
ahk_Latn,100000,False,0.9998920125265469,0,0.9998920125265469,0,0.9998920125265469,0,13892
aia_Latn,17546,False,0.9988538681948425,4,0.9985677456316241,5,0.999140154772141,3,1743
aii_Syrc,24440,True,1.0,0,1.0,0,1.0,0,1576
aim_Latn,11048,False,0.9847473784556721,29,0.9861310377809661,24,0.9903938520653217,15,1036
ain_Latn,4507,False,0.9454022988505747,35,0.9762611275964391,13,0.9848484848484848,3,332
ajg_Latn,29217,False,0.9659338815237456,143,0.9645603477097962,159,0.9645603477097962,159,2938
aji_Latn,12641,False,0.9978714346530438,1,0.9978732454274777,2,0.9961620469083157,1,1176
ajz_Latn,11064,False,0.9851024208566107,30,0.9896907216494845,18,0.9948088721094855,5,1060
akb_Latn,13505,False,0.8091998704243603,585,0.8184796854521625,550,0.9250374812593702,181,1253
ake_Latn,17791,False,0.998898678414097,2,0.998898678414097,2,0.9994490358126722,1,907
akh_Latn,24012,False,0.9968253968253968,4,0.9976171564733916,3,0.9976171564733916,3,628
akp_Latn,17785,False,0.9966124661246613,10,0.9962749746020995,11,0.9989792446410344,0,1471
ald_Latn,11035,False,1.0,0,0.9995258416311048,1,0.9995253915519696,0,1054
alj_Latn,13407,False,0.9818316648127549,48,0.9854856717528843,38,0.996605054696341,5,1325
aln_Latn,62542,False,0.8859527121001392,1609,0.8895409767344372,1546,0.8895409767344372,1546,6401
alp_Latn,17561,False,0.9932114882506528,10,0.9947698744769874,7,0.9973753280839895,1,954
alq_Latn,17867,False,0.9877594465141032,16,0.9898774640383591,13,0.9946409431939978,3,935
als_Latn,100000,False,0.9726427346875164,413,0.9731524129631934,466,0.9732872602371246,594,49026
alt_Cyrl,84843,False,0.9868961973278519,136,0.9865741632941479,138,0.9865741632941479,138,7750
aly_Latn,6317,False,0.9899909008189263,11,0.9899909008189263,11,0.9972451790633609,2,544
alz_Latn,92770,False,0.9908370865041156,121,0.9887536112257531,175,0.9887536112257531,175,9626
ame_Latn,34032,False,0.9975351602145861,3,0.9975351602145861,3,0.9975351602145861,3,3454
amf_Latn,13325,False,0.9845201238390094,38,0.9891135303265942,26,0.9968553459119497,2,1274
