lang,N,row_treatment,gate_on,rule_clause,floor_unmod,floor_assigned,seen_rescale,target_lang,floor_gap_shift
aai_Latn,24580,unmod,False,head_unmod,-17.775694,,0.0,ubr_Latn,0.0
aak_Latn,24062,unmod,False,head_unmod,-18.414217,,0.0,agm_Latn,0.0
aau_Latn,24485,unmod,False,head_unmod,-18.080288,,0.0,diq_Latn,0.0
aaz_Latn,20777,unmod,False,head_unmod,-18.015053,,0.0,bjn_Latn,0.0
aba_Latn,18107,unmod,False,head_unmod,-17.033075,,0.0,ajg_Latn,0.0
abi_Latn,6735,floor21,True,else_floor21_gate,-16.746387,-21.0,0.0,aha_Latn,0.0
abk_Cyrl,100000,unmod,False,head_unmod,-19.028444,,0.0,,
abn_Latn,47050,unmod,False,head_unmod,-18.014498,,0.0,oke_Latn,0.0
abq_Cyrl,141,floor21,True,else_floor21_gate,-13.566913,-21.0,0.0,lbe_Cyrl,0.0
abs_Latn,1335,floor21,True,else_floor21_gate,-14.937991,-21.0,0.0,mui_Latn,0.0
abt_Latn,46820,unmod,False,head_unmod,-18.888885,,0.0,jav_Latn,0.0
abx_Latn,17721,floor21,True,else_floor21_gate,-17.531727,-21.0,0.0,hil_Latn,-2.6143210000000003
aby_Latn,21889,unmod,False,head_unmod,-17.897102,,0.0,kqc_Latn,0.0
abz_Latn,13333,floor21,True,else_floor21_gate,-16.475962,-21.0,0.0,ind_Latn,-2.069883000000001
aca_Latn,7493,floor21,True,else_floor21_gate,-16.758663,-21.0,0.0,pio_Latn,0.0
acd_Latn,17727,floor21,True,else_floor21_gate,-17.750782,-21.0,0.0,bam_Latn,-3.71903
ace_Arab,6107,floor21,True,else_floor21_gate,-16.768246,-21.0,0.0,bjn_Arab,0.0
ace_Latn,47937,unmod,False,head_unmod,-18.560886,,0.0,sun_Latn,0.0
acf_Latn,34818,unmod,False,head_unmod,-18.027746,,0.0,gcf_Latn,0.0
ach_Latn,42880,unmod,False,head_unmod,-17.87162,,0.0,alz_Latn,0.0
acm_Arab,4566,floor21,True,else_floor21_gate,-15.550294,-21.0,0.0,ars_Arab,-3.8781950000000016
acn_Latn,17803,floor21,True,else_floor21_gate,-17.579079,-21.0,0.0,bjn_Latn,-3.302102999999999
acr_Latn,67975,unmod,False,head_unmod,-19.021029,,0.0,quc_Latn,0.0
acu_Latn,24513,unmod,False,head_unmod,-17.928642,,0.0,agr_Latn,0.0
ada_Latn,100000,unmod,False,head_unmod,-18.591648,,0.0,,
ade_Latn,13525,floor21,True,else_floor21_gate,-17.376831,-21.0,0.0,bam_Latn,-3.71903
adh_Latn,23111,unmod,False,head_unmod,-17.515694,,0.0,luo_Latn,0.0
adi_Latn,30503,unmod,False,head_unmod,-17.960779,,0.0,jav_Latn,0.0
adj_Latn,17702,floor21,True,else_floor21_gate,-17.631569,-21.0,0.0,bam_Latn,-3.71903
adl_Latn,11055,floor21,True,else_floor21_gate,-17.110111,-21.0,0.0,adi_Latn,-3.0392210000000013
ady_Cyrl,5894,floor21,True,else_floor21_gate,-16.695286,-21.0,0.0,kbd_Cyrl,-2.8624989999999997
adz_Latn,3796,floor21,True,else_floor21_gate,-15.944812,-21.0,0.0,tel_Latn,0.0
aeb_Arab,25840,unmod,False,head_unmod,-17.788982,,0.0,ary_Arab,0.0
aer_Latn,12314,floor21,True,else_floor21_gate,-17.656761,-21.0,0.0,sco_Latn,-2.0931849999999983
aeu_Latn,17719,floor21,True,else_floor21_gate,-17.860369,-21.0,0.0,vro_Latn,-2.7770709999999994
aey_Latn,25992,unmod,False,head_unmod,-17.964905,,0.0,sun_Latn,0.0
afr_Latn,100000,unmod,False,head_unmod,-19.024965,,0.0,,
agd_Latn,31162,unmod,False,head_unmod,-18.199633,,0.0,pap_Latn,0.0
agg_Latn,24084,unmod,False,head_unmod,-18.200787,,0.0,agm_Latn,0.0
agm_Latn,24380,unmod,False,head_unmod,-18.521446,,0.0,cax_Latn,0.0
agn_Latn,17794,floor21,True,else_floor21_gate,-17.471947,-21.0,0.0,fil_Latn,-2.077686
agr_Latn,32209,unmod,False,head_unmod,-18.157631,,0.0,sun_Latn,0.0
agt_Latn,16997,floor21,True,else_floor21_gate,-17.528553,-21.0,0.0,ibg_Latn,-2.616237999999999
agu_Latn,22058,unmod,False,head_unmod,-17.958664,,0.0,mam_Latn,0.0
agw_Latn,39173,unmod,False,head_unmod,-18.263485,,0.0,mri_Latn,0.0
agx_Cyrl,1958,floor21,True,else_floor21_gate,-15.369914,-21.0,0.0,tab_Cyrl,0.0
aha_Latn,15133,floor21,True,else_floor21_gate,-16.851297,-21.0,0.0,nzi_Latn,-2.3227539999999998
ahk_Latn,100000,unmod,False,head_unmod,-19.251442,,0.0,,
aia_Latn,17546,floor21,True,else_floor21_gate,-17.674711,-21.0,0.0,kwd_Latn,0.0
aii_Syrc,24440,unmod,False,head_unmod,-18.111671,,0.0,,
aim_Latn,11048,floor21,True,else_floor21_gate,-16.824156,-21.0,0.0,rnl_Latn,-3.510746000000001
ain_Latn,4507,floor21,True,else_floor21_gate,-16.089436,-21.0,0.0,lad_Latn,0.0
ajg_Latn,29217,unmod,False,head_unmod,-17.427134,,0.0,ewe_Latn,0.0
aji_Latn,12641,floor21,True,else_floor21_gate,-17.189302,-21.0,0.0,lij_Latn,-2.7329599999999985
ajz_Latn,11064,floor21,True,else_floor21_gate,-16.88312,-21.0,0.0,mjw_Latn,0.0
akb_Latn,13505,floor21,True,else_floor21_gate,-17.176474,-21.0,0.0,bbc_Latn,-2.4339520000000014
ake_Latn,17791,floor21,True,else_floor21_gate,-17.575365,-21.0,0.0,mbc_Latn,-2.8558480000000017
akh_Latn,24012,unmod,False,head_unmod,-18.344143,,0.0,jav_Latn,0.0
akp_Latn,17785,floor21,True,else_floor21_gate,-17.46035,-21.0,0.0,ewe_Latn,-2.2037639999999996
ald_Latn,11035,floor21,True,else_floor21_gate,-17.170265,-21.0,0.0,bam_Latn,-3.71903
alj_Latn,13407,floor21,True,else_floor21_gate,-17.070852,-21.0,0.0,iry_Latn,0.0
