true_lang,pred_lang,n_lines,N_true,N_pred
ind_Latn,zsm_Latn,31113,100000,100000
arb_Arab,ars_Arab,23608,100000,18539
hbs_Latn,srp_Latn,21395,100000,79008
kin_Latn,run_Latn,20167,100000,100000
fas_Arab,glk_Arab,19447,100000,22263
arb_Arab,arz_Arab,19212,100000,100000
dan_Latn,nob_Latn,18632,100000,100000
eng_Latn,enm_Latn,16367,100000,34177
cmn_Hani,wuu_Hani,15651,100000,74364
nob_Latn,nno_Latn,13261,100000,100000
hin_Deva,anp_Deva,12680,100000,4499
fas_Arab,mzn_Arab,12304,100000,25413
zsm_Latn,ind_Latn,11603,100000,100000
spa_Latn,ast_Latn,10940,100000,100000
por_Latn,glg_Latn,10658,100000,100000
run_Latn,kin_Latn,10154,100000,100000
rus_Cyrl,bul_Cyrl,9286,100000,100000
arb_Arab,ary_Arab,9028,100000,100000
rus_Cyrl,ukr_Cyrl,8947,100000,100000
slv_Latn,hbs_Latn,7932,100000,100000
