lang,n_scoreable,n_self_won,tau,excluded,cause
abi_Latn,2000,2000,88.82736965560913,False,
abq_Cyrl,141,138,-inf,True,low_calibration
abs_Latn,1335,1316,7.310638256072998,False,
abx_Latn,2000,2000,17.189556476974477,False,
abz_Latn,2000,1920,10.197731242964004,False,
aca_Latn,2000,2000,65.68279756088256,False,
acd_Latn,2000,2000,30.209071234258015,False,
ace_Arab,2000,1956,3.6174640528361004,False,
acm_Arab,2000,1397,0.2519124059041341,False,
acn_Latn,2000,2000,41.85551895327037,False,
ade_Latn,2000,2000,72.15939323584239,False,
adj_Latn,2000,1998,34.72046829253302,False,
adl_Latn,2000,2000,74.42563590431213,False,
ady_Cyrl,2000,1975,20.26471412455241,False,
adz_Latn,2000,1996,65.65778264872233,False,
aer_Latn,2000,1999,74.49426834716797,False,
aeu_Latn,2000,2000,46.29916240098745,False,
agn_Latn,2000,1996,5.543781347910564,False,
agt_Latn,2000,1997,18.854693848080107,False,
agx_Cyrl,1958,1941,32.12473328314887,False,
aha_Latn,2000,1997,23.1363615705702,False,
aia_Latn,2000,2000,24.399446633444896,False,
aim_Latn,2000,1993,16.99249010009766,False,
ain_Latn,2000,1979,23.055567828835382,False,
aji_Latn,2000,1989,43.478782083468964,False,
ajz_Latn,2000,1999,36.23976015625,False,
akb_Latn,2000,1986,5.527007514105902,False,
ake_Latn,2000,2000,36.75316471135882,False,
akp_Latn,2000,2000,13.778358135117411,False,
ald_Latn,2000,2000,95.12825824398465,False,
alj_Latn,2000,2000,26.247889235941567,False,
alp_Latn,2000,1999,16.041597009658815,False,
alq_Latn,2000,2000,20.65003340572781,False,
aly_Latn,2000,2000,31.50173212254842,False,
amf_Latn,2000,1999,40.05376832008361,False,
amk_Latn,2000,1999,14.39375392150875,False,
amu_Latn,2000,1996,31.490746593475336,False,
amx_Latn,1656,1656,45.8476004486084,False,
ang_Latn,490,442,4.693982838630676,False,
anp_Deva,2000,1408,1.0938827171325685,False,
anv_Latn,2000,2000,10.285108298238121,False,
any_Latn,2000,2000,61.84619541007147,False,
aoi_Latn,2000,1999,90.03986311264038,False,
aom_Latn,2000,2000,42.05366890652977,False,
aoz_Latn,2000,2000,21.837991397391423,False,
apb_Latn,2000,2000,79.0080564883762,False,
apn_Latn,2000,2000,43.7628381901847,False,
apt_Latn,2000,1999,45.49285682296752,False,
apu_Latn,2000,1985,63.780873451063364,False,
apw_Latn,2000,2000,53.27413872426351,False,
aqz_Latn,271,213,0.9286196642133924,False,
arb_Latn,847,847,53.71637653198243,False,
arc_Syrc,410,0,-inf,True,low_calibration
are_Latn,2000,2000,54.51730173676809,False,
arp_Latn,1963,1955,81.29875141584608,False,
arq_Arab,2000,1663,1.1359768066406248,False,
arr_Latn,572,540,3.822284570566813,False,
asg_Latn,2000,1998,4.442639094416304,False,
asm_Latn,455,437,5.0077727112240265,False,
atd_Latn,2000,1997,5.10965825551351,False,
atg_Latn,2000,2000,9.633530434417725,False,
ati_Latn,2000,1927,47.57436852493286,False,
atj_Latn,1662,1607,100.98720325164795,False,
atq_Latn,2000,1997,31.29081917368571,False,
att_Latn,2000,2000,26.744730097579943,False,
auc_Latn,2000,2000,67.81151221968332,False,
aui_Latn,2000,2000,35.48477822113037,False,
ava_Cyrl,2000,1996,18.081454887390134,False,
avk_Latn,2000,1990,4.610196200561523,False,
avn_Latn,2000,2000,46.058502797847325,False,
avu_Latn,2000,2000,89.5969260421753,False,
awi_Latn,2000,2000,52.648967902565005,False,
awx_Latn,2000,1994,60.87740006752014,False,
ayo_Latn,2000,2000,91.45908600451152,False,
ayp_Arab,2000,1998,17.641578859286838,False,
azg_Latn,2000,1999,10.556557037353478,False,
azz_Latn,2000,2000,17.11656733627319,False,
bao_Latn,2000,1999,12.97739961872095,False,
bav_Latn,2000,1994,22.975055658022484,False,
bbj_Latn,2000,1999,61.73370933074951,False,
bbk_Latn,2000,1999,95.62302230377198,False,
bbo_Latn,2000,1999,29.527104638671876,False,
bco_Latn,2000,2000,125.06434631347656,False,
bcw_Latn,2000,2000,25.85963021291097,False,
bdh_Latn,2000,1999,105.83429006958009,False,
bdq_Latn,2000,2000,74.18790033637153,False,
bea_Latn,1152,1152,56.11941034545898,False,
ben_Latn,2000,1961,7.521380225287544,False,
beq_Latn,2000,1996,21.440142878850303,False,
bew_Latn,2000,1868,0.9658990419175896,False,
bfd_Latn,2000,2000,21.45467375183106,False,
bfo_Latn,2000,2000,19.863364520263673,False,
bgr_Latn,2000,1997,4.267704515118078,False,
bgt_Latn,2000,1999,49.45212582244873,False,
bgz_Latn,2000,1997,39.11132462904188,False,
bhg_Latn,2000,2000,37.498125025431314,False,
bhp_Latn,2000,1952,16.74433480464087,False,
bhz_Latn,2000,1998,62.74385957819621,False,
bib_Latn,2000,1999,21.63700366668701,False,
biu_Latn,2000,1997,16.130085488891602,False,
biv_Latn,2000,2000,4.9155245445887275,False,
bjn_Arab,2000,1918,2.2784620246887215,False,
bjp_Latn,2000,2000,50.05067443847656,False,
bkd_Latn,2000,1999,8.205862854003907,False,
bkl_Latn,2000,2000,87.08008586756388,False,
bkq_Latn,2000,2000,31.165148077964787,False,
bku_Latn,2000,2000,36.188048700968416,False,
bkv_Latn,2000,2000,45.63931093699137,False,
bla_Latn,1048,1047,65.49973941853841,False,
blh_Latn,2000,2000,81.37929015842013,False,
blt_Latn,2000,2000,96.56356937866211,False,
blw_Latn,2000,2000,30.741381067276002,False,
blz_Latn,2000,1997,12.311401115163152,False,
bmk_Latn,1657,1651,11.827458896636962,False,
bmq_Latn,2000,2000,28.394049732971194,False,
bmr_Latn,2000,2000,43.21953211616938,False,
bmv_Latn,2000,2000,71.4808439476649,False,
bnj_Latn,2000,1980,4.836183228725863,False,
bno_Latn,2000,1999,38.824010987854,False,
boa_Latn,2000,2000,59.73954363589812,False,
bom_Latn,2000,1999,72.83967094421386,False,
bor_Latn,156,135,-inf,True,low_calibration
bov_Latn,2000,1999,11.91808235740663,False,
box_Latn,2000,2000,31.0951970489502,False,
bpr_Latn,2000,1928,0.1001979382832845,False,
bps_Latn,2000,1920,0.033195557657877614,False,
bqj_Latn,2000,1999,43.732287577819825,False,
bqp_Latn,2000,1985,5.800746717664929,False,
brh_Arab,2000,1973,3.9290515582614467,False,
bru_Latn,2000,2000,51.471878821690886,False,
brx_Deva,2000,1985,14.44417685953776,False,
brx_Latn,374,374,43.50433709903293,False,
bsc_Latn,2000,2000,50.56303433481852,False,
bsn_Latn,2000,2000,20.134410539499914,False,
bsp_Latn,2000,1993,38.61385876464844,False,
bsq_Latn,2000,1974,62.232645361879136,False,
bss_Latn,2000,2000,36.79011150718265,False,
btd_Latn,2000,1990,15.2131697807312,False,
bth_Latn,2000,1999,39.506979998016355,False,
btt_Latn,2000,2000,48.19233070318434,False,
bud_Latn,2000,2000,58.16063995700412,False,
bug_Latn,2000,1928,5.274059312735663,False,
bvc_Latn,2000,2000,27.567806832885744,False,
bvd_Latn,2000,1996,20.718408343633016,False,
bvr_Latn,2000,2000,31.51085655517565,False,
bvz_Latn,2000,2000,94.9242597955068,False,
bwd_Latn,2000,1990,30.605182000732423,False,
bwi_Latn,221,219,39.4324516389211,False,
bwq_Latn,2000,1999,18.680072620010375,False,
bwu_Latn,2000,2000,14.04202646204631,False,
bxh_Latn,2000,2000,37.26335465405782,False,
byv_Latn,1735,1723,46.93613412412007,False,
byx_Latn,2000,2000,34.852553195190424,False,
bzi_Thai,2000,2000,79.7243163403829,False,
caa_Latn,2000,2000,9.352411796145931,False,
caf_Latn,2000,1989,0.38864751756456156,False,
cag_Latn,2000,1993,61.918658513387044,False,
cao_Latn,2000,2000,23.089606147427027,False,
cas_Latn,2000,2000,100.97068968200685,False,
cav_Latn,2000,1999,21.089669065475476,False,
cbc_Latn,2000,2000,38.63056717207164,False,
cbi_Latn,2000,2000,64.73823413425022,False,
cbt_Latn,2000,2000,74.14375051002503,False,
cbu_Latn,2000,1999,43.18573525810242,False,
cco_Latn,2000,2000,89.78170914531279,False,
ccp_Latn,2000,1999,36.55789337387085,False,
cdf_Latn,2000,2000,45.14078520081838,False,
cdo_Latn,2000,1998,108.14927334365846,False,
ceg_Latn,2000,2000,74.40719767201742,False,
cgc_Latn,2000,1990,3.505737553787235,False,
chj_Latn,2000,2000,104.2464784359402,False,
cho_Latn,1031,1026,19.86466094970703,False,
chq_Latn,2000,2000,100.48784532801311,False,
chr_Cher,2000,2000,180.14664065263537,False,
chr_Latn,2000,1999,73.74284932861327,False,
chz_Latn,2000,2000,70.42137175913919,False,
cjo_Latn,2000,1986,1.0774871936374242,False,
cjp_Latn,2000,1997,47.93296560058594,False,
cjs_Cyrl,1320,1318,36.25323394012451,False,
cko_Latn,2000,2000,7.77585655515459,False,
ckt_Cyrl,2000,1974,13.123570609283446,False,
cle_Latn,2000,2000,60.63990925731656,False,
clu_Latn,2000,1989,11.0656714714898,False,
cly_Latn,2000,1644,4.762085700013904,False,
cme_Latn,2000,2000,18.511976202392596,False,
cmo_Khmr,2000,2000,113.0037309141371,False,
cmo_Latn,2000,1991,1.3580680118136959,False,
cmr_Latn,2000,2000,75.16527241662344,False,
cnk_Latn,2000,1269,0.4599498769124349,False,
cnl_Latn,2000,2000,51.3957928907606,False,
cnt_Latn,2000,2000,69.70425430501304,False,
cnw_Latn,2000,1997,21.326381681654187,False,
coe_Latn,2000,2000,56.66097754228383,False,
cof_Latn,2000,1998,36.57271986357371,False,
con_Latn,2000,2000,12.054799111599364,False,
cos_Latn,2000,1964,2.3800248632431034,False,
cot_Latn,2000,1998,3.718720022583008,False,
cou_Latn,2000,2000,54.58151688014137,False,
cpa_Latn,2000,2000,30.25899942650266,False,
cpb_Latn,2000,1982,0.043266911824544264,False,
cpc_Latn,2000,1998,0.7238194449742625,False,
cpu_Latn,2000,1986,0.3612335575951458,False,
cpy_Latn,2000,1999,6.24889317626953,False,
crh_Latn,2000,1934,0.17700790545145673,False,
cri_Latn,2000,1833,18.01949675716824,False,
crj_Cans,2000,2000,63.19450734562344,False,
crk_Cans,2000,1969,72.79921354573567,False,
crk_Latn,2000,1997,63.88184239908855,False,
crl_Cans,2000,2000,37.29587053701613,False,
crm_Cans,2000,1997,24.448385592651366,False,
crt_Latn,2000,2000,73.10210282287598,False,
crx_Latn,2000,1993,7.303868863932292,False,
csb_Latn,2000,1966,10.093424339294433,False,
csk_Latn,2000,2000,11.83539893942939,False,
cso_Latn,2000,1999,43.11542802810661,False,
csw_Cans,124,105,-inf,True,low_calibration
csw_Latn,247,243,19.979271049838594,False,
cta_Latn,2000,2000,33.08669305165604,False,
cto_Latn,2000,1902,18.230524301825636,False,
cub_Latn,2000,2000,30.733587640380858,False,
cuc_Latn,2000,2000,46.88132864193385,False,
cui_Latn,2000,2000,30.29522524690623,False,
cul_Latn,2000,1999,49.085852699279776,False,
cut_Latn,2000,2000,27.580720802349486,False,
cux_Latn,2000,2000,98.06144968857235,False,
cwd_Cans,231,230,14.207966219075521,False,
cwe_Latn,2000,1984,0.3411673324584959,False,
cwt_Latn,2000,2000,36.900254258791605,False,
cya_Latn,2000,1959,0.062301861741807824,False,
daa_Latn,2000,2000,9.297478829860685,False,
daf_Latn,2000,2000,66.54266882137722,False,
dag_Latn,2000,1990,62.79234034271242,False,
dak_Latn,2000,2000,69.36194124895732,False,
dar_Cyrl,1870,1858,33.554398300170895,False,
dbq_Latn,2000,2000,74.12870580512153,False,
ddg_Latn,1354,1330,33.35322903251648,False,
