lang,n_scoreable,n_self_won,tau,excluded
abi_Latn,2000,2000,84.489158826828,False
abq_Cyrl,141,141,-inf,True
abs_Latn,1335,1326,8.646670881907145,False
abx_Latn,2000,2000,15.09900635852813,False
abz_Latn,2000,1912,9.320987438201907,False
aca_Latn,2000,2000,66.08893391812643,False
acd_Latn,2000,2000,29.869805501238506,False
ace_Arab,2000,1934,3.286105201339722,False
acm_Arab,2000,1655,0.35048534622192373,False
acn_Latn,2000,2000,39.935458449130586,False
ade_Latn,2000,1999,65.71420662879945,False
adj_Latn,2000,1998,28.48102306327819,False
adl_Latn,2000,2000,70.60481879806518,False
ady_Cyrl,2000,1977,20.65189897732205,False
adz_Latn,2000,1996,61.370057483673094,False
aer_Latn,2000,1999,66.72810577545167,False
aeu_Latn,2000,2000,46.38054412786699,False
agn_Latn,2000,1996,4.244641965230311,False
agt_Latn,2000,1997,18.950663811535307,False
agx_Cyrl,1958,1942,31.45430083071391,False
aha_Latn,2000,1997,23.07542372275458,False
aia_Latn,2000,2000,23.93108980691698,False
aim_Latn,2000,1993,17.730947151692707,False
ain_Latn,2000,1979,21.83765981212192,False
aji_Latn,2000,1988,35.68754622556899,False
ajz_Latn,2000,1999,34.74909361572266,False
akb_Latn,2000,1986,5.804724425209893,False
ake_Latn,2000,2000,34.967083944956464,False
akp_Latn,2000,2000,13.754367813799101,False
ald_Latn,2000,2000,90.27929201963214,False
alj_Latn,2000,2000,26.132820313072205,False
alp_Latn,2000,1999,15.957860720825197,False
alq_Latn,2000,1998,3.826278287082249,False
aly_Latn,2000,2000,29.43745782500373,False
amf_Latn,2000,1999,36.511806573867794,False
amk_Latn,2000,1999,13.783046081542935,False
amu_Latn,2000,1996,32.26869532267252,False
amx_Latn,1656,1656,45.377403297424316,False
ang_Latn,490,466,6.19316103776296,False
anp_Deva,2000,1497,1.2176122283935547,False
anv_Latn,2000,2000,9.940694442452328,False
any_Latn,2000,2000,59.013538948652474,False
aoi_Latn,2000,1999,80.5819610748291,False
aom_Latn,2000,2000,36.680304527282715,False
aoz_Latn,2000,2000,21.927232120196024,False
apb_Latn,2000,2000,74.23964059549968,False
apn_Latn,2000,2000,43.219394256125554,False
apt_Latn,2000,1999,43.36614419364928,False
apu_Latn,2000,1983,59.504836053466796,False
apw_Latn,2000,2000,53.612134245808925,False
aqz_Latn,271,266,3.044257183763716,False
arb_Latn,847,847,56.13440157928467,False
arc_Syrc,410,400,1.1671306762695313,False
are_Latn,2000,2000,48.3790618487676,False
arp_Latn,1963,1955,75.19897631365458,False
arq_Arab,2000,1753,1.324073461914062,False
arr_Latn,572,561,4.338114215426975,False
asg_Latn,2000,1998,4.439884580781728,False
asm_Latn,455,442,8.74258688879013,False
atd_Latn,2000,1997,4.929253744167752,False
atg_Latn,2000,2000,9.70985703163147,False
ati_Latn,2000,1927,45.02624289627075,False
atj_Latn,1662,1607,90.17990661824544,False
atq_Latn,2000,1998,31.489239966922337,False
att_Latn,2000,2000,26.733041402053807,False
auc_Latn,2000,2000,50.5130536839803,False
aui_Latn,2000,2000,34.56883028297425,False
ava_Cyrl,2000,1996,14.216495391845697,False
avk_Latn,2000,1993,5.835573901367187,False
avn_Latn,2000,2000,43.48584580226475,False
avu_Latn,2000,2000,86.34047162780762,False
awi_Latn,2000,2000,51.07476207771301,False
awx_Latn,2000,1994,58.22912670271132,False
ayo_Latn,2000,2000,84.51225036023457,False
ayp_Arab,2000,1998,18.12133626437717,False
azg_Latn,2000,1999,10.49254538726803,False
azz_Latn,2000,2000,17.07802022501627,False
bao_Latn,2000,1999,13.624533329200682,False
bav_Latn,2000,1993,28.767148882547993,False
bbj_Latn,2000,1999,57.87531660003662,False
bbk_Latn,2000,1999,94.69388552398681,False
bbo_Latn,2000,2000,29.052373084174263,False
bco_Latn,2000,2000,103.95403563037446,False
bcw_Latn,2000,2000,24.567507915560405,False
bdh_Latn,2000,1999,92.04079010009767,False
bdq_Latn,2000,2000,73.72068968370226,False
bea_Latn,1152,1152,54.533967764282224,False
ben_Latn,2000,1956,6.597771433724297,False
beq_Latn,2000,1996,21.60741998163859,False
bew_Latn,2000,1856,0.8507078149583606,False
bfd_Latn,2000,2000,17.637292083740235,False
bfo_Latn,2000,2000,19.792309951019288,False
bgr_Latn,2000,1997,4.335741125912146,False
bgt_Latn,2000,1999,47.4482372543335,False
bgz_Latn,2000,1997,38.288341713460284,False
bhg_Latn,2000,2000,39.08935586412218,False
bhp_Latn,2000,1951,16.250529861450193,False
bhz_Latn,2000,1998,57.39063485531277,False
bib_Latn,2000,1999,21.42247339172363,False
biu_Latn,2000,1997,16.36535882466634,False
biv_Latn,2000,2000,4.889600771819223,False
bjn_Arab,2000,1880,1.6668857354058162,False
bjp_Latn,2000,2000,49.34541795887417,False
bkd_Latn,2000,1999,8.183201757049561,False
bkl_Latn,2000,2000,76.53563899824354,False
bkq_Latn,2000,2000,27.313811061011435,False
bku_Latn,2000,2000,34.50325660281711,False
bkv_Latn,2000,2000,42.15263158747355,False
bla_Latn,1048,1047,63.335072035725915,False
blh_Latn,2000,2000,83.49382840694851,False
blt_Latn,2000,2000,92.93086731058757,False
blw_Latn,2000,2000,30.75938338406881,False
blz_Latn,2000,1997,10.02055214843749,False
bmk_Latn,1657,1654,14.120644372431437,False
bmq_Latn,2000,2000,27.505408466339116,False
bmr_Latn,2000,2000,40.078674248038396,False
bmv_Latn,2000,2000,68.01580810546875,False
bnj_Latn,2000,1979,4.485772943115236,False
bno_Latn,2000,1999,39.5650806728363,False
boa_Latn,2000,2000,54.360185541195335,False
bom_Latn,2000,2000,63.506382827504474,False
bor_Latn,156,154,-inf,True
bov_Latn,2000,1999,11.984370432281509,False
box_Latn,2000,2000,25.819527230665432,False
bpr_Latn,2000,1929,0.07734664916992169,False
bps_Latn,2000,1918,0.017089896774292013,False
bqj_Latn,2000,1999,42.40235474700928,False
bqp_Latn,2000,1985,6.071745917426215,False
brh_Arab,2000,1972,3.5937871200561524,False
bru_Latn,2000,2000,42.140480636596706,False
brx_Deva,2000,1988,14.851680575900607,False
brx_Latn,374,374,46.27979867808024,False
bsc_Latn,2000,2000,47.969840339024856,False
bsn_Latn,2000,2000,19.975044855244953,False
bsp_Latn,2000,1992,37.013611221313475,False
bsq_Latn,2000,1974,62.12585713265737,False
bss_Latn,2000,2000,33.83453267737495,False
btd_Latn,2000,1992,13.34460500717163,False
bth_Latn,2000,1999,38.33588911705017,False
btt_Latn,2000,2000,45.78399273630778,False
bud_Latn,2000,2000,52.38554181213379,False
bug_Latn,2000,1931,4.709781656477187,False
bvc_Latn,2000,1999,25.447975758361817,False
bvd_Latn,2000,1996,20.81596841176351,False
bvr_Latn,2000,1999,27.3172032028197,False
bvz_Latn,2000,2000,82.14619554773967,False
bwd_Latn,2000,1990,32.97182350463867,False
bwi_Latn,221,219,51.61255000228882,False
bwq_Latn,2000,1999,18.448786979293825,False
bwu_Latn,2000,2000,14.16064018147787,False
bxh_Latn,2000,2000,36.96745892100864,False
byv_Latn,1735,1724,42.18130670822991,False
byx_Latn,2000,2000,23.21154829737345,False
bzi_Thai,2000,2000,80.25394803167978,False
caa_Latn,2000,1999,17.68122888717647,False
caf_Latn,2000,1986,0.3236494772169324,False
cag_Latn,2000,1993,52.73483949788412,False
cao_Latn,2000,2000,23.595335077942735,False
cas_Latn,2000,2000,90.0309258392334,False
cav_Latn,2000,1999,21.078202185058608,False
cbc_Latn,2000,1999,39.37860532073972,False
cbi_Latn,2000,2000,57.59405789048937,False
cbt_Latn,2000,2000,68.66277165936364,False
cbu_Latn,2000,1999,37.2754709072113,False
cco_Latn,2000,2000,78.21734041690826,False
ccp_Latn,2000,1998,33.75908314153883,False
cdf_Latn,2000,2000,43.096585402255585,False
cdo_Latn,2000,1998,91.35832712961833,False
ceg_Latn,2000,2000,59.21500665868123,False
cgc_Latn,2000,1989,5.903416648864747,False
chj_Latn,2000,2000,106.92168819537693,False
cho_Latn,1031,1026,19.090651127497356,False
chq_Latn,2000,2000,92.73310193570455,False
chr_Cher,2000,2000,158.20153275587293,False
chr_Latn,2000,1999,68.94647211914062,False
chz_Latn,2000,2000,58.594304143651335,False
cjo_Latn,2000,1986,0.9926536492241755,False
cjp_Latn,2000,1997,46.83084699859619,False
cjs_Cyrl,1320,1320,40.63414890797933,False
cko_Latn,2000,2000,7.538902636909486,False
ckt_Cyrl,2000,1973,12.253028095499674,False
cle_Latn,2000,2000,49.088492239952075,False
clu_Latn,2000,1990,11.049277365684508,False
cly_Latn,2000,1648,4.452348910140992,False
cme_Latn,2000,2000,17.753240750630713,False
cmo_Khmr,2000,2000,116.33723243793912,False
cmo_Latn,2000,1990,4.496345346450806,False
cmr_Latn,2000,2000,65.5582938047621,False
cnk_Latn,2000,1227,0.5515142237345377,False
cnl_Latn,2000,2000,45.985095005628736,False
cnt_Latn,2000,2000,64.59904934082032,False
cnw_Latn,2000,1999,21.796858810424805,False
coe_Latn,2000,2000,44.376828363037134,False
cof_Latn,2000,1998,35.712941396395365,False
con_Latn,2000,2000,7.900778456624332,False
cos_Latn,2000,1963,2.4664538318634035,False
cot_Latn,2000,1996,9.364225033760086,False
cou_Latn,2000,2000,52.99299808343252,False
cpa_Latn,2000,2000,31.705520497597593,False
cpb_Latn,2000,1981,0.06727514648437499,False
cpc_Latn,2000,1998,0.7195982170104972,False
cpu_Latn,2000,1986,0.3346046235826269,False
cpy_Latn,2000,1997,6.275344209120007,False
crh_Latn,2000,1928,0.20092883809407555,False
cri_Latn,2000,1846,17.27817898416519,False
crj_Cans,2000,2000,66.69920042419433,False
crk_Cans,2000,1942,51.27459552663167,False
crk_Latn,2000,1979,48.22403558180068,False
crl_Cans,2000,2000,39.13200194358826,False
crm_Cans,2000,1996,25.270324548721316,False
crt_Latn,2000,2000,66.52330792846679,False
crx_Latn,2000,1994,7.197418165673152,False
csb_Latn,2000,1965,9.966149727376301,False
csk_Latn,2000,1999,12.977167364501954,False
cso_Latn,2000,1999,42.892127227783114,False
csw_Cans,124,121,-inf,True
csw_Latn,247,243,37.07723822572496,False
cta_Latn,2000,2000,33.782064071231375,False
cto_Latn,2000,1902,15.120261877695722,False
cub_Latn,2000,2000,23.817073986434906,False
cuc_Latn,2000,2000,47.243520707363544,False
cui_Latn,2000,2000,32.76354258489603,False
cul_Latn,2000,2000,33.81169603284198,False
cut_Latn,2000,2000,28.085394879913295,False
cux_Latn,2000,2000,91.79446578008864,False
cwd_Cans,231,228,4.119753941218058,False
cwe_Latn,2000,1984,0.3252122241973875,False
cwt_Latn,2000,2000,34.7234613000022,False
cya_Latn,2000,1953,0.045210076226128514,False
daa_Latn,2000,2000,9.364435853958128,False
daf_Latn,2000,2000,59.9748318142785,False
dag_Latn,2000,1990,60.2761538711548,False
dak_Latn,2000,2000,66.39807368253072,False
dar_Cyrl,1870,1859,34.81251429663764,False
dbq_Latn,2000,2000,71.58644693264432,False
ddg_Latn,1354,1331,30.45327497821384,False
ddn_Latn,2000,1999,44.54067175674439,False
des_Latn,2000,1999,31.615421043395997,False
dga_Latn,2000,1993,11.89446700032552,False
dgc_Latn,2000,2000,11.437804838562016,False
dgi_Latn,2000,2000,23.102614562479655,False
dhg_Latn,1607,1607,67.91557194112143,False
dhm_Latn,2000,1999,15.781141194534301,False
did_Latn,2000,2000,86.04254856855604,False
dig_Latn,2000,1993,10.622917626444499,False
dip_Latn,2000,1995,6.906735897064209,False
dis_Latn,2000,1995,39.00480221388075,False
diu_Latn,166,165,-inf,True
dje_Latn,2000,1993,19.121728546142577,False
djr_Latn,2000,2000,35.291327066379125,False
dks_Latn,2000,1976,1.309065302213033,False
dng_Cyrl,804,802,55.06202311401368,False
dnw_Latn,2000,1998,79.32500037731594,False
doi_Deva,2000,1941,4.173199399312337,False
dos_Latn,2000,2000,61.37991133880616,False
dow_Latn,2000,2000,45.23089139442444,False
drg_Latn,201,201,16.532800013224286,False
dsb_Latn,2000,1940,2.531283048523797,False
dsh_Latn,2000,2000,76.9499308828142,False
dtb_Latn,2000,1999,32.64634258460998,False
dts_Latn,2000,1998,39.113835050964354,False
dty_Deva,2000,1909,2.6336344299316408,False
due_Latn,2000,1999,4.3543199996948125,False
dug_Latn,2000,1997,8.877182879977752,False
duo_Latn,2000,1999,13.622202441406253,False
dur_Latn,2000,2000,72.11141069967482,False
dwr_Ethi,1693,1693,31.008013897705077,False
dyi_Latn,2000,1999,17.01183953933716,False
dyo_Latn,2000,1996,11.52160283152263,False
dzo_Tibt,2000,1958,7.3267438603719075,False
ebk_Latn,2000,1999,10.330487248992917,False
eka_Latn,2000,1998,6.5578060951232935,False
eko_Latn,2000,1999,33.84345245361328,False
eme_Latn,645,616,3.4798829054832456,False
enb_Latn,2000,2000,23.779423755900066,False
enl_Latn,2000,2000,68.69955828857422,False
enq_Latn,2000,1998,19.02620789602068,False
eri_Latn,2000,2000,12.107866566128177,False
esi_Latn,2000,1974,3.122047071668836,False
esk_Latn,2000,1977,0.6485787407769097,False
ess_Latn,2000,1996,25.974915937423717,False
esu_Latn,2000,2000,31.126488745074802,False
eto_Latn,153,152,-inf,True
etr_Latn,2000,2000,68.50425402386983,False
etu_Latn,2000,2000,83.00639585774739,False
eve_Cyrl,1953,1926,42.32329740524292,False
ewo_Latn,2000,1968,36.8314680422465,False
ext_Latn,2000,1935,2.26148002081977,False
fad_Latn,1949,1949,61.711917156728106,False
fal_Latn,2000,1996,33.60034110546112,False
fan_Latn,2000,1981,1.918524490356446,False
far_Latn,2000,1998,15.05588442399767,False
fit_Latn,2000,1837,1.441772673034668,False
fkv_Latn,1884,1698,1.0701297957102458,False
fmu_Deva,974,973,54.18704575500488,False
frd_Latn,2000,1996,53.9256833635966,False
fro_Latn,2000,1888,0.3505938547770182,False
frp_Latn,2000,1900,17.887575561523438,False
frr_Latn,2000,1971,3.5824591547648112,False
fud_Latn,2000,1993,9.29849801635742,False
fue_Latn,2000,1978,3.892614055633545,False
fuq_Latn,2000,1966,0.25355038324991863,False
