lang,n_corpus_lines,n_scoreable,n_self_won,train_top1_rate,tau,excluded
abq_Cyrl,141,141,138,0.9787234042553191,-inf,True
ang_Latn,490,490,443,0.9040816326530612,4.532618713378906,False
aqz_Latn,271,271,213,0.7859778597785978,0.7728683471679688,False
arb_Latn,847,847,847,1.0,52.97864837646485,False
arc_Syrc,410,410,0,0.0,-inf,True
arr_Latn,572,572,540,0.9440559440559441,2.9903726577758794,False
asm_Latn,455,455,435,0.9560439560439561,5.077681732177735,False
bor_Latn,156,156,135,0.8653846153846154,-inf,True
brx_Latn,374,374,374,1.0,38.99654769897461,False
bwi_Latn,221,221,219,0.9909502262443439,34.55384902954101,False
csw_Cans,124,124,94,0.7580645161290323,-inf,True
csw_Latn,247,247,243,0.9838056680161943,18.60909881591797,False
cwd_Cans,231,231,230,0.9956709956709957,13.621427154541017,False
diu_Latn,166,166,151,0.9096385542168675,-inf,True
dng_Cyrl,804,804,802,0.9975124378109452,47.48865509033203,False
drg_Latn,201,201,197,0.9800995024875622,-inf,True
eme_Latn,645,645,592,0.9178294573643411,2.1804733276367188,False
eto_Latn,153,153,151,0.9869281045751634,-inf,True
fmu_Deva,974,974,974,1.0,48.04598617553712,False
goh_Latn,306,306,229,0.7483660130718954,7.280792236328125,False
hoc_Latn,380,380,377,0.9921052631578947,5.217378997802735,False
hoc_Wara,499,499,499,1.0,73.32441558837891,False
itl_Cyrl,978,978,977,0.9989775051124744,61.66752319335938,False
kak_Latn,165,165,161,0.9757575757575757,-inf,True
kap_Cyrl,776,776,776,1.0,54.71990203857422,False
kas_Latn,405,405,403,0.9950617283950617,14.889432525634765,False
kca_Cyrl,951,951,946,0.9947423764458465,35.98798370361328,False
kdr_Latn,85,85,85,1.0,-inf,True
kei_Latn,226,226,219,0.9690265486725663,13.988827514648438,False
kex_Deva,739,739,602,0.8146143437077131,1.3035263061523437,False
knx_Latn,351,351,346,0.9857549857549858,18.30545425415039,False
kqa_Latn,889,889,889,1.0,72.41221923828125,False
krx_Latn,970,970,970,1.0,41.392075347900395,False
ktz_Latn,357,357,357,1.0,66.03262939453126,False
lad_Hebr,171,171,64,0.3742690058479532,-inf,True
lbe_Cyrl,182,182,180,0.989010989010989,-inf,True
ldn_Latn,106,106,101,0.9528301886792453,-inf,True
lez_Cyrl,337,337,333,0.9881305637982196,5.541036987304688,False
liv_Latn,625,625,625,1.0,21.921829223632812,False
lki_Arab,211,211,118,0.5592417061611374,-inf,True
lld_Latn,814,814,797,0.9791154791154791,8.899594116210938,False
lrc_Arab,168,168,95,0.5654761904761905,-inf,True
lud_Latn,554,554,550,0.9927797833935018,13.409210968017579,False
max_Latn,333,333,255,0.7657657657657657,0.697450637817383,False
mev_Latn,277,277,276,0.9963898916967509,16.079986572265625,False
