lang,n_scoreable,n_self_won,tau,excluded
abq_Cyrl,141,141,-inf,True
ang_Latn,490,466,6.324087142944336,False
aqz_Latn,271,266,3.0684022903442383,False
arb_Latn,847,847,56.53673248291015,False
arc_Syrc,410,400,1.2093994140625002,False
arr_Latn,572,561,4.646770477294922,False
asm_Latn,455,442,8.756948280334473,False
bor_Latn,156,154,-inf,True
brx_Latn,374,374,46.800071716308594,False
bwi_Latn,221,219,51.703504943847655,False
csw_Cans,124,121,-inf,True
csw_Latn,247,243,37.17747802734375,False
cwd_Cans,231,228,4.198688507080079,False
diu_Latn,166,165,-inf,True
dng_Cyrl,804,802,55.81206092834473,False
drg_Latn,201,201,16.613143920898438,False
eme_Latn,645,616,3.505385398864746,False
eto_Latn,153,152,-inf,True
fmu_Deva,974,973,54.62265319824219,False
goh_Latn,306,260,5.057111358642579,False
hoc_Latn,380,380,13.228911209106444,False
hoc_Wara,499,499,101.76294631958008,False
itl_Cyrl,978,978,75.57906723022461,False
kak_Latn,165,162,-inf,True
kap_Cyrl,776,776,67.25844955444336,False
kas_Latn,405,404,22.088592529296875,False
kca_Cyrl,951,946,41.61491012573242,False
kdr_Latn,85,85,-inf,True
kei_Latn,226,224,23.890987396240234,False
kex_Deva,739,723,3.6521728515625003,False
knx_Latn,351,347,28.841487884521484,False
kqa_Latn,889,889,85.60230712890626,False
krx_Latn,970,970,47.526129531860356,False
ktz_Latn,357,357,79.459716796875,False
lad_Hebr,171,169,-inf,True
lbe_Cyrl,182,181,-inf,True
ldn_Latn,106,106,-inf,True
lez_Cyrl,337,335,18.026206970214844,False
liv_Latn,625,624,27.37630081176758,False
lki_Arab,211,206,5.10369873046875,False
lld_Latn,814,807,10.60561218261719,False
lrc_Arab,168,167,-inf,True
lud_Latn,554,553,19.473379516601565,False
max_Latn,333,328,3.6452142715454103,False
mev_Latn,277,277,29.324745178222656,False
mgm_Latn,179,178,-inf,True
mhw_Latn,524,522,18.426194763183595,False
min_Arab,847,841,7.908050537109375,False
mlu_Latn,815,811,25.713993072509766,False
mni_Latn,889,883,27.30748519897461,False
mns_Cyrl,971,971,29.946144104003906,False
mnw_Mymr,291,291,88.5263442993164,False
mrq_Latn,827,813,20.97303161621094,False
mrv_Latn,137,135,-inf,True
mus_Latn,406,406,17.451505661010742,False
mwf_Latn,268,268,119.3234848022461,False
ndh_Latn,625,622,18.963893508911134,False
nio_Cyrl,90,90,-inf,True
nla_Latn,233,231,35.056854248046875,False
non_Latn,502,494,9.919915008544923,False
npi_Latn,359,359,21.11903076171875,False
ory_Latn,435,433,12.333761596679688,False
ota_Arab,674,667,4.119662857055665,False
otw_Latn,85,85,-inf,True
pmq_Latn,315,315,93.97046813964843,False
pnt_Grek,846,837,11.14288330078125,False
prg_Latn,891,891,11.690101623535156,False
pwn_Latn,561,517,99.47147216796876,False
rme_Latn,366,366,26.790973663330078,False
say_Latn,693,693,19.581483459472658,False
sbs_Latn,271,271,17.678699493408203,False
sby_Latn,172,171,-inf,True
sdc_Latn,692,682,18.980303192138674,False
sdo_Latn,643,635,28.333814239501955,False
sel_Cyrl,111,111,-inf,True
sgh_Cyrl,614,607,23.335182189941406,False
sjo_Mong,688,688,95.40908317565918,False
sju_Latn,102,102,-inf,True
soe_Latn,945,945,19.563711547851565,False
tat_Latn,885,880,10.955704116821291,False
tay_Latn,743,740,61.216009521484374,False
thv_Latn,372,370,3.3781808853149413,False
tkl_Latn,505,500,8.75721893310547,False
tkr_Cyrl,777,777,49.07435913085938,False
tpn_Latn,493,490,8.871495056152344,False
tpw_Latn,360,359,9.964314651489257,False
tuv_Latn,532,526,18.798032760620117,False
tzl_Latn,190,190,-inf,True
vot_Latn,119,119,-inf,True
wew_Latn,727,718,26.996273422241213,False
whg_Latn,782,774,31.775014495849614,False
xum_Latn,113,113,-inf,True
yup_Latn,270,270,36.96456642150879,False
zpg_Latn,833,830,44.74841003417969,False
zpj_Latn,90,88,-inf,True
zsm_Arab,281,280,2.131625747680664,False
