lang,n_scoreable,n_self_won,tau,excluded,cause
abi_Latn,2000,2000,73.08048659261068,False,
abq_Cyrl,141,138,-inf,True,low_calibration
abs_Latn,1335,1321,7.28528377532959,False,
abx_Latn,2000,2000,17.189556476974477,False,
abz_Latn,2000,1919,10.40211256900364,False,
aca_Latn,2000,2000,60.368029126633544,False,
acd_Latn,2000,2000,26.58115917193095,False,
ace_Arab,2000,1956,3.603792520311144,False,
acm_Arab,2000,1408,0.2538321620941162,False,
acn_Latn,2000,2000,36.76109209835264,False,
ade_Latn,2000,2000,58.222166795730594,False,
adj_Latn,2000,1998,28.167302394655014,False,
adl_Latn,2000,2000,59.78501307614644,False,
ady_Cyrl,2000,1976,19.125997789171006,False,
adz_Latn,2000,1996,53.79739196395874,False,
aer_Latn,2000,1999,58.96771367034912,False,
aeu_Latn,2000,2000,44.87799136859049,False,
agn_Latn,2000,1998,7.937493596861099,False,
agt_Latn,2000,1997,17.68856333372328,False,
agx_Cyrl,1958,1941,29.559346371120878,False,
aha_Latn,2000,1997,21.197210051727293,False,
aia_Latn,2000,2000,22.819004404873326,False,
aim_Latn,2000,1993,16.345306494140626,False,
ain_Latn,2000,1978,20.650369183222463,False,
aji_Latn,2000,1988,32.23160770640903,False,
ajz_Latn,2000,2000,32.35855648142497,False,
akb_Latn,2000,1987,5.84833730951945,False,
ake_Latn,2000,2000,33.625129771444534,False,
akp_Latn,2000,2000,13.778358135117411,False,
ald_Latn,2000,2000,77.94099297481114,False,
alj_Latn,2000,2000,24.65992264944712,False,
alp_Latn,2000,1999,16.700014760208134,False,
alq_Latn,2000,1999,10.331643435668946,False,
aly_Latn,2000,2000,25.87949062218136,False,
amf_Latn,2000,2000,36.14256217267778,False,
amk_Latn,2000,1999,9.725426565551752,False,
amu_Latn,2000,1996,28.020709800720212,False,
amx_Latn,1656,1656,38.50923280334472,False,
ang_Latn,490,443,4.467762364705404,False,
anp_Deva,2000,1425,1.1745518981933596,False,
anv_Latn,2000,2000,12.579047336790305,False,
any_Latn,2000,2000,52.14494449674818,False,
aoi_Latn,2000,1999,71.4962284866333,False,
aom_Latn,2000,2000,33.17491233189901,False,
aoz_Latn,2000,2000,20.445099601682028,False,
apb_Latn,2000,2000,65.074627669949,False,
apn_Latn,2000,2000,35.75552901666429,False,
apt_Latn,2000,1999,40.76613069076538,False,
apu_Latn,2000,1986,52.28971806250678,False,
apw_Latn,2000,2000,51.39357705866496,False,
aqz_Latn,271,213,0.7709123264312744,False,
arb_Latn,847,847,52.10956706619263,False,
arc_Syrc,410,0,-inf,True,low_calibration
are_Latn,2000,2000,42.6809540614658,False,
arp_Latn,1963,1955,67.96174716084798,False,
arq_Arab,2000,1668,1.119860513305664,False,
arr_Latn,572,540,2.823317214330037,False,
asg_Latn,2000,1998,4.442639094416304,False,
asm_Latn,455,435,4.953987613466052,False,
atd_Latn,2000,1997,4.417609499443903,False,
atg_Latn,2000,2000,9.633530434417725,False,
ati_Latn,2000,1927,40.0424582321167,False,
atj_Latn,1662,1607,84.01179423878988,False,
atq_Latn,2000,2000,29.373381981235077,False,
att_Latn,2000,2000,24.784617930603,False,
auc_Latn,2000,2000,43.39672891597748,False,
aui_Latn,2000,2000,32.87418191604614,False,
ava_Cyrl,2000,1996,16.023799133300777,False,
avk_Latn,2000,1991,4.554377102322048,False,
avn_Latn,2000,2000,39.43953395103878,False,
avu_Latn,2000,2000,69.37686100692748,False,
awi_Latn,2000,2000,46.68013662261963,False,
awx_Latn,2000,1994,51.636573219299315,False,
ayo_Latn,2000,2000,75.75726210225423,False,
ayp_Arab,2000,1998,17.53842837371826,False,
azg_Latn,2000,1999,9.975999347686736,False,
azz_Latn,2000,2000,17.11656733627319,False,
bao_Latn,2000,1999,10.414815841865495,False,
bav_Latn,2000,1993,25.615278472900368,False,
bbj_Latn,2000,1999,50.2385172164917,False,
bbk_Latn,2000,2000,80.91645406324598,False,
bbo_Latn,2000,2000,24.85956681382921,False,
bco_Latn,2000,2000,91.3851014073054,False,
bcw_Latn,2000,2000,19.693744269688924,False,
bdh_Latn,2000,1999,77.5358104248047,False,
bdq_Latn,2000,2000,65.53864015028212,False,
bea_Latn,1152,1152,45.77339262695312,False,
ben_Latn,2000,1961,7.107311401367188,False,
beq_Latn,2000,1996,20.64362602519989,False,
bew_Latn,2000,1862,0.8438088610119294,False,
bfd_Latn,2000,2000,8.263452224731447,False,
bfo_Latn,2000,2000,18.933258478927613,False,
bgr_Latn,2000,1998,6.412667644712662,False,
bgt_Latn,2000,2000,42.70414005652533,False,
bgz_Latn,2000,1997,35.65432934163411,False,
bhg_Latn,2000,2000,34.73276276584201,False,
bhp_Latn,2000,1948,15.935573688507077,False,
bhz_Latn,2000,1999,50.810331057739255,False,
bib_Latn,2000,1999,17.975905543518067,False,
biu_Latn,2000,1997,16.130085488891602,False,
biv_Latn,2000,2000,4.9155245445887275,False,
bjn_Arab,2000,1921,2.2160593668619795,False,
bjp_Latn,2000,2000,45.60203888770209,False,
bkd_Latn,2000,1999,7.38135364837647,False,
bkl_Latn,2000,2000,69.60396547063192,False,
bkq_Latn,2000,2000,29.81375517855751,False,
bku_Latn,2000,2000,31.216464931064177,False,
bkv_Latn,2000,2000,36.67348218358358,False,
bla_Latn,1048,1047,54.70132065327962,False,
blh_Latn,2000,2000,71.9001668858846,False,
blt_Latn,2000,2000,88.6495967127482,False,
blw_Latn,2000,2000,28.588716866175336,False,
blz_Latn,2000,1997,11.61861035529242,False,
bmk_Latn,1657,1651,11.88255153020223,False,
bmq_Latn,2000,2000,24.65262732187907,False,
bmr_Latn,2000,2000,37.40367799025641,False,
bmv_Latn,2000,2000,59.92654450653924,False,
bnj_Latn,2000,1980,4.107134855143229,False,
bno_Latn,2000,1999,38.824010987854,False,
boa_Latn,2000,2000,50.99172862659028,False,
bom_Latn,2000,2000,54.66669683405558,False,
bor_Latn,156,135,-inf,True,low_calibration
bov_Latn,2000,1999,11.80725112380983,False,
box_Latn,2000,2000,25.93562778659398,False,
bpr_Latn,2000,1927,0.10019603729248046,False,
bps_Latn,2000,1922,0.0331994618733724,False,
bqj_Latn,2000,1999,38.04350188293457,False,
bqp_Latn,2000,1985,5.79791855875651,False,
brh_Arab,2000,1973,4.183184276665581,False,
bru_Latn,2000,2000,36.41559332275392,False,
brx_Deva,2000,1987,14.262454793294271,False,
brx_Latn,374,374,38.95577849112617,False,
bsc_Latn,2000,2000,42.19071665032705,False,
bsn_Latn,2000,2000,19.263831365712484,False,
bsp_Latn,2000,1993,33.15206041870117,False,
bsq_Latn,2000,1974,53.91899346550836,False,
bss_Latn,2000,2000,28.08111574446361,False,
btd_Latn,2000,1991,13.64713399251302,False,
bth_Latn,2000,1999,34.78285877304077,False,
btt_Latn,2000,2000,39.440902889972264,False,
bud_Latn,2000,2000,46.65066498461829,False,
bug_Latn,2000,1930,4.971580830256144,False,
bvc_Latn,2000,2000,22.604896271684435,False,
bvd_Latn,2000,1996,18.951941319147746,False,
bvr_Latn,2000,2000,17.866007980685662,False,
bvz_Latn,2000,2000,76.06605107053122,False,
bwd_Latn,2000,1990,28.75114998168945,False,
bwi_Latn,221,219,34.446458649910824,False,
bwq_Latn,2000,1998,16.900633631049264,False,
bwu_Latn,2000,2000,14.04202646204631,False,
bxh_Latn,2000,2000,32.915622271728516,False,
byv_Latn,1735,1727,37.72707401890225,False,
byx_Latn,2000,2000,28.66713643925984,False,
bzi_Thai,2000,2000,76.23427615477245,False,
caa_Latn,2000,2000,17.602158858405176,False,
caf_Latn,2000,1990,0.16403319854736279,False,
cag_Latn,2000,1993,48.71881959025065,False,
cao_Latn,2000,2000,20.08522101054721,False,
cas_Latn,2000,2000,80.10626896057128,False,
cav_Latn,2000,2000,20.68886988938651,False,
cbc_Latn,2000,2000,30.859265951961923,False,
cbi_Latn,2000,2000,53.89126697658963,False,
cbt_Latn,2000,2000,59.772502191713116,False,
cbu_Latn,2000,2000,33.61140816650391,False,
cco_Latn,2000,2000,66.97579506484134,False,
ccp_Latn,2000,1998,32.930089751476714,False,
cdf_Latn,2000,2000,39.78067458436754,False,
cdo_Latn,2000,1998,82.06477270219591,False,
ceg_Latn,2000,2000,52.11173393503825,False,
cgc_Latn,2000,1989,12.21048738564386,False,
chj_Latn,2000,2000,91.9081960834927,False,
cho_Latn,1031,1026,14.96192816204495,False,
chq_Latn,2000,2000,83.16152478090922,False,
chr_Cher,2000,2000,112.01801493394639,False,
chr_Latn,2000,1999,63.673550390625,False,
chz_Latn,2000,2000,53.938414455689326,False,
cjo_Latn,2000,1987,1.0776579783121745,False,
cjp_Latn,2000,1999,41.96114013824463,False,
cjs_Cyrl,1320,1320,33.43198107910156,False,
cko_Latn,2000,2000,3.6943529838562017,False,
ckt_Cyrl,2000,1975,11.323951721191406,False,
cle_Latn,2000,2000,40.43627669315337,False,
clu_Latn,2000,1992,10.050691039085388,False,
cly_Latn,2000,1644,4.688868571790059,False,
cme_Latn,2000,2000,15.283890481058778,False,
cmo_Khmr,2000,2000,100.88321340387134,False,
cmo_Latn,2000,1991,3.5345459620157884,False,
cmr_Latn,2000,2000,60.82656335781945,False,
cnk_Latn,2000,1200,0.45663208427429197,False,
cnl_Latn,2000,2000,38.87461645134819,False,
cnt_Latn,2000,2000,51.94310949707032,False,
cnw_Latn,2000,1999,20.381894180297852,False,
coe_Latn,2000,2000,39.07375810801189,False,
cof_Latn,2000,1998,31.48107846970028,False,
con_Latn,2000,2000,10.27903910047743,False,
cos_Latn,2000,1964,2.287268981933594,False,
cot_Latn,2000,1999,6.305858242797855,False,
cou_Latn,2000,2000,47.35356486574809,False,
cpa_Latn,2000,2000,24.165980748769975,False,
cpb_Latn,2000,1982,0.043266911824544264,False,
cpc_Latn,2000,1999,0.7239503002166738,False,
cpu_Latn,2000,1986,0.3612335575951458,False,
cpy_Latn,2000,1998,6.076935981241862,False,
crh_Latn,2000,1931,0.15019332186381024,False,
cri_Latn,2000,1831,17.25855426724752,False,
crj_Cans,2000,2000,50.13318500879076,False,
crk_Cans,2000,1967,55.569883422851554,False,
crk_Latn,2000,1989,49.03279036933051,False,
crl_Cans,2000,2000,32.7951331715054,False,
crm_Cans,2000,1997,22.762624806722005,False,
crt_Latn,2000,2000,60.60128378601074,False,
crx_Latn,2000,1993,7.053127972412112,False,
csb_Latn,2000,1964,9.063850186157227,False,
csk_Latn,2000,2000,10.742619828287765,False,
cso_Latn,2000,1999,35.1163174819946,False,
csw_Cans,124,94,-inf,True,low_calibration
csw_Latn,247,243,18.50441865090264,False,
cta_Latn,2000,2000,29.49845634990267,False,
cto_Latn,2000,1902,12.84936088290745,False,
cub_Latn,2000,2000,13.029841692352287,False,
cuc_Latn,2000,2000,40.90667167349918,False,
cui_Latn,2000,2000,22.791245425701117,False,
cul_Latn,2000,1999,40.85303488540648,False,
cut_Latn,2000,2000,26.359287722142525,False,
cux_Latn,2000,2000,76.80986154674954,False,
cwd_Cans,231,230,13.511532563654582,False,
cwe_Latn,2000,1986,0.341369809468587,False,
cwt_Latn,2000,2000,30.953590014860364,False,
cya_Latn,2000,1965,0.09584306988186307,False,
daa_Latn,2000,2000,9.297478829860685,False,
daf_Latn,2000,2000,51.33785747006735,False,
dag_Latn,2000,1990,53.16423895568848,False,
dak_Latn,2000,2000,59.634540252939864,False,
dar_Cyrl,1870,1859,32.1716338136461,False,
dbq_Latn,2000,2000,65.1776945183648,False,
ddg_Latn,1354,1329,26.598029383002388,False,
ddn_Latn,2000,1999,40.76840400314331,False,
des_Latn,2000,1999,29.250337249755855,False,
dga_Latn,2000,1997,6.737195416259763,False,
dgc_Latn,2000,2000,11.167851581764227,False,
dgi_Latn,2000,2000,20.727147326702543,False,
dhg_Latn,1607,1607,59.51225280761719,False,
dhm_Latn,2000,2000,15.262353798103332,False,
did_Latn,2000,2000,75.80105373306274,False,
dig_Latn,2000,1995,9.38307359000312,False,
dip_Latn,2000,1996,6.439256191253662,False,
dis_Latn,2000,1996,36.15471275965373,False,
diu_Latn,166,151,-inf,True,low_calibration
dje_Latn,2000,1993,18.066609326171875,False,
djr_Latn,2000,2000,34.002767300923665,False,
dks_Latn,2000,1980,1.5217829372617933,False,
dng_Cyrl,804,802,46.16612871398926,False,
dnw_Latn,2000,1998,68.89878293007745,False,
doi_Deva,2000,1935,3.802386826748318,False,
dos_Latn,2000,2000,53.20439955045913,False,
dow_Latn,2000,2000,40.208797480392455,False,
drg_Latn,201,197,-inf,True,low_calibration
dsb_Latn,2000,1934,2.41986288356781,False,
dsh_Latn,2000,2000,70.16921457273695,False,
dtb_Latn,2000,1999,31.585943187713625,False,
dts_Latn,2000,1998,36.208802249908445,False,
dty_Deva,2000,1903,2.7797295104980466,False,
due_Latn,2000,2000,2.857591659545894,False,
dug_Latn,2000,1997,8.085198685116238,False,
duo_Latn,2000,2000,12.22976113357544,False,
dur_Latn,2000,2000,60.739230738385515,False,
dwr_Ethi,1693,1692,24.28582555135091,False,
dyi_Latn,2000,1999,15.134897841644289,False,
dyo_Latn,2000,1992,11.840401000383165,False,
dzo_Tibt,2000,1953,10.333818623860678,False,
ebk_Latn,2000,2000,9.381926716359455,False,
eka_Latn,2000,1998,6.53453087615967,False,
eko_Latn,2000,1998,31.554756851196288,False,
eme_Latn,645,592,2.0806129136085505,False,
enb_Latn,2000,2000,20.11904850684272,False,
enl_Latn,2000,2000,64.56395138702392,False,
enq_Latn,2000,1999,16.78156682739258,False,
eri_Latn,2000,2000,14.493620906321201,False,
esi_Latn,2000,1977,3.0217330010308157,False,
esk_Latn,2000,1978,0.5658287007649736,False,
ess_Latn,2000,1996,25.042259082794192,False,
esu_Latn,2000,2000,28.609508811611597,False,
eto_Latn,153,151,-inf,True,low_calibration
etr_Latn,2000,2000,61.12979578230116,False,
etu_Latn,2000,2000,68.05937400444878,False,
eve_Cyrl,1953,1925,38.8689154006958,False,
ewo_Latn,2000,1968,33.32391320184072,False,
ext_Latn,2000,1927,2.2757966217041017,False,
fad_Latn,1949,1949,56.35510364939372,False,
fal_Latn,2000,1996,32.039980359077454,False,
fan_Latn,2000,1983,0.7706272727118615,False,
far_Latn,2000,1999,14.188976173400883,False,
fit_Latn,2000,1869,1.4714683815002443,False,
fkv_Latn,1884,1587,0.6741011199951171,False,
fmu_Deva,974,974,47.13591494259305,False,
frd_Latn,2000,1996,47.72313757069906,False,
fro_Latn,2000,1885,0.28857331746419246,False,
frp_Latn,2000,1898,17.062921316867406,False,
frr_Latn,2000,1970,3.3781919969558714,False,
fud_Latn,2000,1993,9.677308562215169,False,
fue_Latn,2000,1978,3.6102300783793133,False,
fuq_Latn,2000,1966,0.25297982533772784,False,
fuv_Arab,2000,2000,91.0672102657318,False,
gag_Cyrl,2000,1998,14.714085494995118,False,
gag_Latn,2000,1992,13.152791550954184,False,
gai_Latn,2000,2000,21.638552055168113,False,
gbi_Latn,2000,1998,31.12537892227173,False,
gbo_Latn,2000,2000,73.62743342709011,False,
gbr_Latn,2000,2000,33.73145656568739,False,
gde_Latn,2000,2000,15.40658388522467,False,
gdg_Latn,2000,1998,32.96801154717339,False,
geb_Latn,2000,1999,12.449497160720817,False,
gej_Latn,2000,2000,62.739278862338594,False,
ghe_Deva,2000,1998,39.18316201612685,False,
gid_Latn,2000,2000,33.803766638247176,False,
gmh_Latn,2000,1977,12.087773748779297,False,
gmv_Ethi,2000,1993,6.491471720377604,False,
