tag,support,f1_baseline,f1_floor21,f1_gated
ace,1,0.03225806451612903,0.031746031746031744,0.07692307692307693
acf,603,0.6960257787325457,0.6966773847802786,0.6966773847802786
aeb,15,0.0,0.0,0.0
afr,88,0.5392156862745099,0.5365853658536585,0.4890829694323144
amh,1617,0.9389763779527559,0.9483262918427039,0.9568020631850418
apd,27,0.0,0.0,0.0
ara,16306,0.7369874997122401,0.744737884897788,0.7465560243350969
arb,26152,0.7579787234042553,0.76763583243014,0.7686222808174028
arg,2342,0.8601722995361166,0.8603055125083019,0.8627730294396961
ars,229,0.7588075880758807,0.7588075880758807,0.7588075880758807
ary,226,0.8073878627968338,0.8167539267015707,0.8320413436692506
arz,1102,0.1845140032948929,0.22971887550200804,0.23397435897435898
asm,213,0.8041237113402062,0.8474576271186441,0.8463157894736842
aze,29,0.27135678391959794,0.27053140096618356,0.20973782771535582
azj,847,0.9764350453172206,0.9782870928829915,0.9892601431980906
bak,46,0.7272727272727273,0.7142857142857143,0.6837606837606838
bcl,270,0.9024390243902439,0.9024390243902439,0.9090909090909091
ben,1886,0.9113166485310119,0.9190814652815745,0.9457063711911357
bik,1499,0.9062276306370795,0.9045405791919914,0.9060498220640568
bre,2348,0.8440952614780262,0.8405511811023622,0.8405511811023622
bul,109,0.5602240896358545,0.5141388174807198,0.453514739229025
cat,93,0.50920245398773,0.49404761904761907,0.4215686274509804
ces,933,0.9373626373626374,0.9374313940724478,0.9308108108108109
cmn,865,0.8373655913978495,0.8373655913978495,0.8381464069845533
crh,405,0.37132075471698117,0.36619718309859156,0.37410071942446044
deu,7553,0.8479673568082212,0.8497057492077864,0.8511851185118512
ell,7,0.4444444444444444,0.4761904761904762,0.4545454545454545
eng,27461,0.8418437643522191,0.8420020446057874,0.8702709250211976
est,659,0.8259860788863109,0.808446455505279,0.7933765298776098
ext,7,0.06896551724137931,0.06,0.14634146341463417
fas,19318,0.9613298243729523,0.9620586025544703,0.9623233487972971
fil,58,0.6711409395973155,0.65359477124183,0.5952380952380951
fin,1030,0.8667377398720683,0.8793733681462141,0.8816449348044133
fra,3233,0.8634585954769597,0.8674414687552635,0.883419689119171
fro,39,0.32989690721649484,0.14814814814814817,0.16666666666666669
fry,965,0.9524804177545693,0.9520333680917623,0.9412365866121616
fuv,37,0.7457627118644068,0.7666666666666667,0.7666666666666667
gaz,11,0.9523809523809523,0.9523809523809523,0.9523809523809523
gcf,24,0.16666666666666666,0.16460905349794236,0.16460905349794236
gcr,111,0.7333333333333334,0.7177033492822966,0.7177033492822966
gla,929,0.9059434506635892,0.9072046109510087,0.9028571428571429
gle,1,0.0,0.0,0.0
gom,338,0.9166666666666666,0.9114331723027375,0.8899835796387521
grc,1,0.0,0.0,0.0
gug,548,0.8884381338742393,0.9029029029029029,0.9159248269040554
guj,948,0.9780631353665061,0.9818376068376067,0.9834313201496525
guw,4,0.1875,0.1875,0.1875
hau,16455,0.946706663262701,0.9484680552901459,0.9529292673668227
hbo,808,0.7744510978043911,0.7744510978043911,0.7739361702127658
heb,5055,0.9437462597247157,0.9459862727544017,0.9460911080167098
hin,3666,0.8779743746186699,0.8817920387467837,0.9060659599528857
ibo,168,0.9090909090909091,0.906344410876133,0.8797653958944283
ind,33828,0.8762021826154843,0.877525964760925,0.888534770251844
ita,4387,0.8600760456273764,0.8609774626487717,0.8619909502262443
jav,1656,0.8164619980086292,0.8158415841584159,0.8109987357774968
jpn,3344,0.9691765066707559,0.9687308399754752,0.9685823754789272
kab,116,0.8916666666666667,0.8879668049792531,0.8744939271255061
kan,2554,0.9132266217354675,0.9236880618858457,0.9531409862901576
kik,62,0.9043478260869565,0.923076923076923,0.95
kor,8,0.45714285714285713,0.4210526315789474,0.34782608695652173
lat,50,0.38095238095238093,0.37914691943127965,0.30534351145038174
lav,512,0.8611353711790393,0.8586296617519514,0.8279301745635911
lij,147,0.523404255319149,0.5254237288135593,0.5254237288135593
lin,55,0.0,0.0,0.0
ltg,38,0.6896551724137931,0.6666666666666666,0.6428571428571429
lug,1361,0.9407206509104998,0.9424043293390028,0.9478527607361963
lvs,353,0.9602356406480117,0.9602356406480117,0.9693430656934306
mal,2061,0.9887365328109697,0.9904622157006603,0.991436261316369
mar,1061,0.8116788321167884,0.8233562315996074,0.8424124513618677
mlg,2153,0.9375151957208849,0.9386071341907304,0.9380274897516278
msa,28224,0.8708652904010541,0.8718156222076104,0.8780085501733599
nld,3299,0.9101930132397511,0.9097266369993644,0.9063133281371786
nso,99,0.8514851485148516,0.8472906403940886,0.8390243902439025
nyn,5,0.6666666666666666,0.6153846153846154,0.5000000000000001
oci,1314,0.8843326885880078,0.8809248554913295,0.8470926058865756
orm,1060,0.9638902262879153,0.9644572526416906,0.9644572526416906
ory,608,0.9633418584825234,0.9712351945854484,0.9738396624472574
pan,1020,0.9410014873574616,0.9512074913750616,0.9664496745117676
pcm,2,0.0029498525073746317,0.0027137042062415195,0.0027137042062415195
pol,1,0.039999999999999994,0.03773584905660378,0.020833333333333332
por,2443,0.847682119205298,0.8482713058797621,0.8362623231890269
rcf,401,0.829001367989056,0.818941504178273,0.7609022556390979
rus,4003,0.8787753413322301,0.8832807570977919,0.8904314686266503
san,895,0.8436934218467109,0.8447653429602888,0.8434163701067615
sna,1355,0.8818961994278708,0.8828093099224172,0.886547811993517
sot,943,0.9561883899233298,0.9561883899233298,0.9561883899233298
spa,4236,0.7995627818007925,0.8010349993190794,0.8094412588345112
swa,4031,0.8835658723299172,0.8857142857142858,0.8893762183235868
swh,12383,0.9272750898774201,0.9292230533096978,0.9317632850241546
tam,81,0.9,0.9050279329608939,0.9642857142857143
tat,1029,0.8898765432098766,0.9004502251125562,0.907
tel,11747,0.9907871620173971,0.991560639163775,0.9982528657263391
tgl,2223,0.9094922737306843,0.910828025477707,0.9148157188186478
tha,3118,0.9672076846637959,0.974173383780227,0.9785492058293761
tuk,22,0.5142857142857142,0.49315068493150693,0.48
tur,4486,0.9282117343951282,0.9305636597035826,0.9364841498559078
ukr,2,0.03076923076923077,0.027397260273972605,0.020833333333333336
urd,204,0.7376623376623377,0.7352185089974294,0.7349999999999999
uzb,43189,0.9393207750664885,0.9415433533080592,0.9453854677853412
uzs,9,0.9411764705882353,0.9411764705882353,0.9411764705882353
vec,1558,0.8020833333333334,0.7983425414364641,0.7751989389920424
vie,21803,0.9866697631212261,0.9881054510885947,0.9889789303079416
wuu,631,0.8485401459854015,0.8495897903372835,0.8495897903372835
xho,575,0.9045871559633026,0.9029304029304028,0.8979963570127504
yor,2290,0.8902350375575478,0.8921663442940039,0.8996157540826129
yue,425,0.6156351791530944,0.6156351791530944,0.6156351791530944
zho,11738,0.9565038306285526,0.9555308733390926,0.955895663622151
zsm,343,0.7296296296296296,0.7296296296296296,0.7549909255898367
zul,4,0.0,0.0,0.0
