label,N,support,f1_baseline,f1_floor21,f1_gated,fp_baseline,fp_floor21,fp_gated
ace_Arab,6107,1012,0.9241773962804005,0.9241773962804005,0.9326275264677576,116,116,97
ace_Latn,47937,1012,0.9970267591674926,0.9965329370975731,0.9965329370975731,0,1,1
acm_Arab,4566,1012,0.32858707557502737,0.3227699530516432,0.3169856459330143,514,417,395
aeb_Arab,25840,1012,0.0,0.0,0.0,0,0,0
afr_Latn,100000,1012,0.993041749502982,0.9925484351713859,0.9940476190476191,1,2,2
als_Latn,100000,1012,0.9985155863433943,0.9985155863433943,0.9985155863433943,0,0,0
amh_Ethi,100000,1012,0.9955599407992106,0.9960629921259843,0.9960629921259843,6,8,8
apc_Arab,79058,1012,0.08623548922056386,0.0909090909090909,0.0909090909090909,142,143,143
arb_Arab,100000,1012,0.33889919604205315,0.3395306309052118,0.33910665451230626,1674,1712,1721
arb_Latn,847,1012,0.9985199802664035,0.9995056846267919,0.9975235264982666,3,0,0
ars_Arab,18539,1012,0.1929770992366412,0.19132029339853301,0.19132029339853301,1947,1947,1947
ary_Arab,100000,1012,0.4636951833213515,0.463061152350654,0.4598337950138504,1125,1162,1212
arz_Arab,100000,1012,0.007373271889400922,0.010723860589812331,0.010657193605683837,69,101,108
asm_Beng,100000,1012,1.0,1.0,1.0,0,0,0
ast_Latn,100000,1012,0.9721543722520762,0.9721815519765739,0.9694026226323457,40,41,49
awa_Deva,18700,1012,0.3653846153846154,0.36276083467094705,0.36276083467094705,8,8,8
ayr_Latn,100000,1012,0.9990108803165183,0.9990108803165183,0.9990108803165183,0,0,0
azb_Arab,100000,1012,0.948024948024948,0.948024948024948,0.948024948024948,0,0,0
azj_Latn,100000,1012,0.9990108803165183,0.9995056846267919,0.9995056846267919,0,0,0
bak_Cyrl,100000,1012,0.9985185185185185,0.9985185185185185,0.9985185185185185,2,2,2
bam_Latn,18697,1012,0.6225895316804407,0.620665980089255,0.620665980089255,988,997,997
ban_Latn,41792,1012,0.9705882352941176,0.9706180344478217,0.9706180344478217,3,4,4
bel_Cyrl,100000,1012,1.0,1.0,1.0,0,0,0
bem_Latn,100000,1012,0.994059405940594,0.9940652818991097,0.9940652818991097,4,5,5
ben_Beng,100000,1012,0.9975259772389905,0.9980217606330365,0.9995061728395062,1,1,1
bho_Deva,55844,1012,0.7703583061889251,0.7673667205169629,0.7673667205169629,498,514,514
bjn_Arab,6110,1012,0.9128251939753537,0.9136592051164916,0.9216589861751152,179,177,158
bjn_Latn,27655,1012,0.9562321598477641,0.9526066350710901,0.9678048780487806,85,93,46
bod_Tibt,45476,1012,0.8667413213885778,0.8749305169538633,0.8749305169538633,0,0,0
bug_Latn,14761,1012,0.9940535183349851,0.9935611688954928,0.9925558312655086,3,4,3
bul_Cyrl,100000,1012,0.9935992122107337,0.9931102362204725,0.9931170108161258,10,11,12
cat_Latn,100000,1012,0.9940711462450593,0.9940711462450593,0.9935865811544154,6,6,8
ceb_Latn,100000,1012,0.9915296462381664,0.9915296462381664,0.9915296462381664,0,0,0
ces_Latn,100000,1012,0.9896907216494845,0.9901864573110893,0.9901864573110893,17,17,17
cjk_Latn,100000,1012,0.9287598944591029,0.9343832020997375,0.9360587002096437,3,3,3
ckb_Arab,100000,1012,0.9930348258706468,0.9930348258706468,0.9930348258706468,0,0,0
crh_Latn,17238,1012,0.996039603960396,0.996039603960396,0.996039603960396,2,2,2
cym_Latn,100000,1012,0.9990118577075099,0.9990118577075099,0.9990118577075099,1,1,1
dan_Latn,100000,1012,0.9258683255572835,0.9258683255572835,0.9258683255572835,24,24,24
deu_Latn,100000,1012,0.9869869869869871,0.9869869869869871,0.9885057471264368,0,0,0
dik_Latn,40448,1012,0.9925335988053758,0.9940357852882703,0.9940357852882703,0,0,0
