lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
aai_Latn,24580,False,0.9840255591054313,40,0.9840255591054313,40,0.9840255591054313,40,1391
aak_Latn,24062,False,0.9996418338108882,2,0.9996418338108882,2,0.9996418338108882,2,2791
aau_Latn,24485,False,0.9988709070380127,3,0.9988709070380127,3,0.9988709070380127,3,1327
aaz_Latn,20777,False,0.9921339761481858,29,0.9923857868020305,28,0.9923857868020305,28,1957
aba_Latn,18107,False,0.9578930768017663,186,0.9377798363439864,322,0.9377798363439864,322,3118
abi_Latn,6735,False,0.9974554707379134,5,0.9974554707379134,5,0.9978732454274776,1,1177
abk_Cyrl,100000,False,0.9966665684690461,69,0.9966733893811326,69,0.9969598803887365,76,221310
abn_Latn,47050,False,0.981527769310492,203,0.9794428901593479,240,0.9794428901593479,240,8150
abq_Cyrl,141,False,0.6097560975609756,31,0.9230769230769231,2,0.9230769230769231,2,26
abs_Latn,1335,False,0.1486353173298257,2581,0.2590431738623104,1258,0.5880681818181818,263,234
abt_Latn,46820,False,0.9946317371698519,12,0.9946317371698519,12,0.9946317371698519,12,2329
abx_Latn,17721,False,0.9083605322621139,364,0.910188679245283,356,0.988235294117647,39,1810
aby_Latn,21889,False,0.9947089947089947,11,0.994270603790216,12,0.994270603790216,12,1129
abz_Latn,13333,False,0.7587521663778163,1300,0.739527027027027,1450,0.9072383782636382,293,2281
aca_Latn,7493,False,0.9905767056162834,25,0.9924471299093656,20,0.9961948249619482,5,1314
acd_Latn,17727,False,0.998003992015968,11,0.998003992015968,11,0.9989090909090909,3,2750
ace_Arab,6107,False,0.6666666666666666,982,0.6790205162144275,926,0.8357113738279657,358,1070
ace_Latn,47937,False,0.9612025948103792,188,0.9597361379052834,219,0.9597361379052834,219,8139
acf_Latn,34818,False,0.9335956714215444,216,0.9340551181102362,213,0.9340551181102362,213,3036
ach_Latn,42880,False,0.9894441695530265,52,0.9892083367657961,60,0.9892083367657961,60,6075
acm_Arab,4566,False,0.12685592113077562,7090,0.15624535868112283,5412,0.17445482866043613,4479,795
acn_Latn,17803,False,0.9974248927038627,8,0.9982817869415808,5,0.9994266055045872,1,1744
acr_Latn,67975,False,0.9059934571940004,1056,0.9053020961775586,1072,0.9053020961775586,1072,7806
acu_Latn,24513,False,0.9877170690385431,38,0.9868810833685993,42,0.9868810833685993,42,2352
ada_Latn,100000,False,0.9936900223478375,133,0.9931152055602911,225,0.9919720083059466,339,30487
ade_Latn,13525,False,0.9991536182818451,4,0.9993650793650793,3,0.9997882701672666,1,2361
adh_Latn,23111,False,0.9793129626115012,92,0.9793129626115012,92,0.9793129626115012,92,2597
adi_Latn,30503,False,0.9830666170450316,146,0.9828837209302326,148,0.9828837209302326,148,5319
adj_Latn,17702,False,0.9961089494163424,13,0.9962704718663855,12,0.997888582101673,2,3083
adl_Latn,11055,False,0.9963973237261966,11,0.9963973237261966,11,0.9987103430487491,2,1939
ady_Cyrl,5894,False,0.947069943289225,94,0.9479659413434247,92,0.956563245823389,73,1020
adz_Latn,3796,False,0.9603024574669188,20,0.9694656488549618,15,0.9921875,3,255
aeb_Arab,25840,False,0.3564763290814142,5075,0.35808609157948895,5050,0.35808609157948895,5050,4524
aer_Latn,12314,False,0.9979045401629802,5,0.9979045401629802,5,0.9979025868096014,3,2147
aeu_Latn,17719,False,0.9994011976047905,2,0.9994011976047905,2,0.9994011976047905,2,1669
aey_Latn,25992,False,0.9922613929492691,24,0.9919770773638968,25,0.9919770773638968,25,1734
afr_Latn,100000,False,0.981411053358351,3508,0.9814886956840566,3707,0.9811515833584951,4183,218523
agd_Latn,31162,False,0.9925484351713859,24,0.9922526817640047,25,0.9922526817640047,25,1666
agg_Latn,24084,False,0.9988376598217745,2,0.9988376598217745,2,0.9988376598217745,2,1290
agm_Latn,24380,False,0.9988942130482861,3,0.9985261606484893,4,0.9985261606484893,4,1355
agn_Latn,17794,False,0.9641050349313418,138,0.965034965034965,134,0.9861932938856016,44,2012
agr_Latn,32209,False,0.9950738916256157,22,0.9952335557673975,22,0.9952335557673975,22,3140
agt_Latn,16997,False,0.9907918968692448,27,0.9914004914004915,25,0.9969097651421508,6,1617
agu_Latn,22058,False,0.9945255474452555,17,0.9942231681362117,18,0.9942231681362117,18,1636
agw_Latn,39173,False,0.993657122145705,63,0.9935682579943835,65,0.9935682579943835,65,5490
agx_Cyrl,1958,False,0.8423645320197044,125,0.8766066838046271,92,0.9550561797752809,27,345
aha_Latn,15133,False,0.9948226270373921,20,0.9950134253931722,19,0.9955624155894269,2,2601
ahk_Latn,100000,False,0.9998487500270089,2,0.9998487500270089,2,0.9998271466228772,3,23142
aia_Latn,17546,False,0.9980487804878049,9,0.9978865225166639,10,0.9986983403839895,5,3072
aii_Syrc,24440,True,1.0,0,0.999822032390105,1,0.999822032390105,1,2809
aim_Latn,11048,False,0.9829559908420248,59,0.9829473148383813,58,0.9884644962830043,33,1940
ain_Latn,4507,False,0.9570552147239263,58,0.9713574097135742,34,0.9756410256410256,7,792
ajg_Latn,29217,False,0.9628770301624131,287,0.959946081263239,324,0.959946081263239,324,5077
aji_Latn,12641,False,0.9972640218878249,2,0.9972640218878249,2,0.9958885335769758,1,2197
ajz_Latn,11064,False,0.9869731800766284,45,0.9889997441800972,38,0.9961290322580645,7,1938
akb_Latn,13505,False,0.8008150789607743,1165,0.8049197130167407,1132,0.9145315861529435,409,2366
ake_Latn,17791,False,0.9985358711566619,5,0.9985358711566619,5,0.9991210079109288,3,1705
akh_Latn,24012,False,0.9960691823899371,9,0.9956777996070728,10,0.9956777996070728,10,1268
akp_Latn,17785,False,0.9965092779717067,19,0.9965092779717067,19,0.9996312684365781,1,2712
ald_Latn,11035,False,0.9994834710743802,2,0.9992254066615027,3,0.999482936918304,0,1935
alj_Latn,13407,False,0.9849119865884325,70,0.9863588667366211,63,0.996600084997875,9,2352
aln_Latn,62542,False,0.8878458498023715,2665,0.8871518492615296,2684,0.8871518492615296,2684,10841
alp_Latn,17561,False,0.9933583598036385,19,0.9947976878612718,15,0.9979692486219901,3,1724
alq_Latn,17867,False,0.9886302111532215,30,0.988095238095238,32,0.9937414965986394,11,1838
als_Latn,100000,False,0.9724045021946026,749,0.9723123499450961,815,0.972107265472766,1070,82012
alt_Cyrl,84843,False,0.9861481286835092,243,0.9860000750666216,247,0.9860000750666216,247,13261
aly_Latn,6317,False,0.9901610017889088,22,0.9919354838709677,18,0.9941573033707866,12,1107
alz_Latn,92770,False,0.9905343323158511,214,0.9885354233901951,298,0.9885354233901951,298,16156
ame_Latn,34032,False,0.9970546158377515,12,0.9969707169303265,13,0.9969707169303265,13,5947
amf_Latn,13325,False,0.9804088586030665,88,0.9825010670081092,78,0.9947916666666666,10,2306
amh_Ethi,100000,False,0.9523081715698681,4014,0.9526964898197475,4027,0.9580069730831265,4282,103607
ami_Latn,87543,False,0.9948956220142661,135,0.9943772474664923,157,0.9943772474664923,157,15224
amk_Latn,17696,False,0.9841452868261746,48,0.9847130083645803,46,0.994175888177053,13,1714
amm_Latn,24436,False,0.9896579156722354,26,0.9884783472387764,29,0.9884783472387764,29,1244
amn_Latn,37915,False,0.9943147815679234,38,0.994166043380703,39,0.994166043380703,39,3323
amp_Latn,30724,False,0.9842146803472771,39,0.9818897637795276,45,0.9818897637795276,45,1248
