lang,N,degenerate,f1_nemo_baseline,fp_nemo_baseline,f1_nemo_floor21,fp_nemo_floor21,f1_nemo_gated,fp_nemo_gated,support
aai_Latn,24580,False,0.9825052484254724,21,0.9818181818181818,22,0.9818181818181818,22,706
aak_Latn,24062,False,1.0,0,1.0,0,1.0,0,1555
aau_Latn,24485,False,0.9984871406959154,2,0.9984871406959154,2,0.9984871406959154,2,660
aaz_Latn,20777,False,0.9918465227817747,16,0.9918465227817747,16,0.9918465227817747,16,1035
aba_Latn,18107,False,0.9538977367979882,119,0.9327868852459016,200,0.9327868852459016,200,1753
abi_Latn,6735,False,0.9949324324324325,5,0.9949324324324325,5,0.9966044142614601,1,590
abk_Cyrl,100000,False,0.9966556702278987,42,0.9966670575906722,42,0.9969631531773435,47,132564
abn_Latn,47050,False,0.982532299741602,121,0.9802061855670102,145,0.9802061855670102,145,4801
abq_Cyrl,141,False,0.3636363636363636,21,0.923076923076923,1,0.923076923076923,1,6
abs_Latn,1335,False,0.04179471419791026,1557,0.07773851590106007,780,0.25,160,36
abt_Latn,46820,False,0.9945862335653519,6,0.9945862335653519,6,0.9945862335653519,6,1294
abx_Latn,17721,False,0.9045680687471732,211,0.9057971014492754,208,0.9846913580246913,28,1000
aby_Latn,21889,False,0.9939288811795316,6,0.9930675909878683,7,0.9930675909878683,7,574
abz_Latn,13333,False,0.7433188315724053,774,0.7226586102719033,866,0.9052795031055901,162,1248
aca_Latn,7493,False,0.9932483120780196,9,0.993993993993994,8,0.999245283018868,1,662
acd_Latn,17727,False,0.9973787680209699,8,0.9973787680209699,8,0.9986859395532195,2,1522
ace_Arab,6107,False,0.6266996291718171,584,0.6401515151515151,550,0.8203883495145632,202,527
ace_Latn,47937,False,0.9623655913978495,112,0.9606434316353887,133,0.9606434316353887,133,4713
acf_Latn,34818,False,0.9281045751633986,138,0.9286323571225477,136,0.9286323571225477,136,1748
ach_Latn,42880,False,0.9896373056994819,30,0.9895069713957165,35,0.9895069713957165,35,3480
acm_Arab,4566,False,0.10337726523887973,4237,0.12935064935064935,3233,0.1474962063732929,2684,368
acn_Latn,17803,False,0.9973304858515749,4,0.9978632478632479,3,0.9989304812834224,1,935
acr_Latn,67975,False,0.9085173501577287,601,0.9076971542581119,612,0.9076971542581119,612,4589
acu_Latn,24513,False,0.9889016456180636,16,0.9881453154875718,18,0.9881453154875718,18,1305
ada_Latn,100000,False,0.9938549325139909,87,0.9930758915131778,145,0.9918388514343424,217,18251
ade_Latn,13525,False,0.9984447900466563,4,0.9988331388564761,3,0.9996107434799533,1,1284
adh_Latn,23111,False,0.9766631835597352,59,0.9780258109522149,55,0.9780258109522149,55,1410
adi_Latn,30503,False,0.9836643177450353,81,0.9831919321274211,84,0.9831919321274211,84,3092
adj_Latn,17702,False,0.996483001172333,7,0.9961910342806914,8,0.9985315712187959,0,1705
adl_Latn,11055,False,0.9970817120622569,4,0.9970817120622569,4,0.9985387238188017,1,1027
ady_Cyrl,5894,False,0.935361216730038,61,0.9362511893434823,60,0.946153846153846,49,499
adz_Latn,3796,False,0.9056603773584906,10,0.923076923076923,8,0.9795918367346939,2,48
aeb_Arab,25840,False,0.3527199074074075,3092,0.3556394251705618,3063,0.3556394251705618,3063,2601
