true_lang,pred_lang,n_lines,N_true,N_pred
ind_Latn,zsm_Latn,31105,100000,100000
arb_Arab,ars_Arab,22184,100000,18539
hbs_Latn,srp_Latn,21955,100000,79008
kin_Latn,run_Latn,19850,100000,100000
arb_Arab,arz_Arab,18911,100000,100000
eng_Latn,enm_Latn,18430,100000,34177
dan_Latn,nob_Latn,18349,100000,100000
fas_Arab,glk_Arab,16741,100000,22263
cmn_Hani,wuu_Hani,15976,100000,74364
hin_Deva,anp_Deva,12887,100000,4499
nob_Latn,nno_Latn,12675,100000,100000
fas_Arab,mzn_Arab,12410,100000,25413
zsm_Latn,ind_Latn,11768,100000,100000
spa_Latn,ast_Latn,11335,100000,100000
rus_Cyrl,ukr_Cyrl,10477,100000,100000
por_Latn,glg_Latn,10444,100000,100000
run_Latn,kin_Latn,10165,100000,100000
rus_Cyrl,bul_Cyrl,9588,100000,100000
arb_Arab,ary_Arab,8433,100000,100000
slv_Latn,hbs_Latn,7986,100000,100000
