lang,n_scoreable,n_self_won,tau,excluded,cause
abi_Latn,2000,2000,77.1131592238744,False,
abq_Cyrl,141,138,-inf,True,low_calibration
abs_Latn,1335,1318,6.788272999763488,False,
abx_Latn,2000,2000,15.925114497756956,False,
abz_Latn,2000,1919,10.558094672648117,False,
aca_Latn,2000,2000,58.400295093790696,False,
acd_Latn,2000,2000,26.665458681933085,False,
ace_Arab,2000,1954,2.886559238052368,False,
acm_Arab,2000,1352,0.1757679704030355,False,
acn_Latn,2000,2000,37.018844830142115,False,
ade_Latn,2000,2000,63.78409007708232,False,
adj_Latn,2000,1998,30.881512495083275,False,
adl_Latn,2000,2000,64.18773544629414,False,
ady_Cyrl,2000,1974,18.27845934460958,False,
adz_Latn,2000,1994,59.66668873384264,False,
aer_Latn,2000,1999,67.75515382156372,False,
aeu_Latn,2000,2000,44.90410199197136,False,
agn_Latn,2000,1997,4.269512402174218,False,
agt_Latn,2000,1997,18.02499970296224,False,
agx_Cyrl,1958,1938,29.046673288006254,False,
aha_Latn,2000,1997,20.478728170861135,False,
aia_Latn,2000,2000,19.913359118186108,False,
aim_Latn,2000,1992,15.232716029018826,False,
ain_Latn,2000,1975,21.795140253702805,False,
aji_Latn,2000,1989,38.95251237106323,False,
ajz_Latn,2000,1999,32.04996072998047,False,
akb_Latn,2000,1984,5.267216568628947,False,
ake_Latn,2000,2000,30.258250226529448,False,
akp_Latn,2000,2000,12.046128806591021,False,
ald_Latn,2000,2000,83.04145248466068,False,
alj_Latn,2000,2000,24.60771663754781,False,
alp_Latn,2000,1999,15.33677002849579,False,
alq_Latn,2000,2000,19.76785527920193,False,
aly_Latn,2000,2000,27.422899363878038,False,
amf_Latn,2000,1999,36.52615496635437,False,
amk_Latn,2000,1999,8.609152273559568,False,
amu_Latn,2000,1996,28.45661290486653,False,
amx_Latn,1656,1656,39.73045470428467,False,
ang_Latn,490,433,5.144122360229492,False,
anp_Deva,2000,1392,1.0119847057130602,False,
anv_Latn,2000,2000,8.217871325302129,False,
any_Latn,2000,1999,53.28156488494873,False,
aoi_Latn,2000,1998,78.30242928788925,False,
aom_Latn,2000,2000,36.163251956303924,False,
aoz_Latn,2000,2000,20.850969921133252,False,
apb_Latn,2000,2000,69.52680882890489,False,
apn_Latn,2000,2000,35.592000899505614,False,
apt_Latn,2000,1999,41.939190562820436,False,
apu_Latn,2000,1987,55.952730427805584,False,
apw_Latn,2000,2000,47.679188710021975,False,
aqz_Latn,271,205,1.0381343720753988,False,
arb_Latn,847,847,50.93103744354248,False,
arc_Syrc,410,0,-inf,True,low_calibration
are_Latn,2000,2000,47.15313682229784,False,
arp_Latn,1963,1955,73.18285997305976,False,
arq_Arab,2000,1660,1.080572854614258,False,
arr_Latn,572,539,3.038832759390937,False,
asg_Latn,2000,1998,4.937564088376368,False,
asm_Latn,455,434,4.282914886580573,False,
atd_Latn,2000,1997,4.071533189604022,False,
atg_Latn,2000,2000,8.40901618423462,False,
ati_Latn,2000,1927,42.20935558395386,False,
atj_Latn,1662,1607,89.59039470265706,False,
atq_Latn,2000,2000,27.499329906802704,False,
att_Latn,2000,2000,23.958958764076222,False,
auc_Latn,2000,2000,59.83597951780955,False,
aui_Latn,2000,2000,32.61413585472107,False,
ava_Cyrl,2000,1996,15.919451494216919,False,
avk_Latn,2000,1988,4.130333524237739,False,
avn_Latn,2000,2000,39.152199562920465,False,
avu_Latn,2000,2000,78.3993797164917,False,
awi_Latn,2000,2000,47.92695366598765,False,
awx_Latn,2000,1994,52.67052510617574,False,
ayo_Latn,2000,2000,81.0098451585134,False,
ayp_Arab,2000,1998,17.284516548495823,False,
azg_Latn,2000,1999,8.662793109893773,False,
azz_Latn,2000,2000,16.041463882446287,False,
bao_Latn,2000,1999,10.94744956417079,False,
bav_Latn,2000,1993,25.496785068511947,False,
bbj_Latn,2000,1999,54.70444454956054,False,
bbk_Latn,2000,2000,83.46747949820625,False,
bbo_Latn,2000,1999,25.566011328125,False,
bco_Latn,2000,2000,105.78682488933137,False,
bcw_Latn,2000,2000,21.436471731482612,False,
bdh_Latn,2000,1999,93.02606297302246,False,
bdq_Latn,2000,2000,63.62555613878038,False,
bea_Latn,1152,1152,49.25872004699707,False,
ben_Latn,2000,1960,7.177359127044678,False,
beq_Latn,2000,1996,19.319718996683758,False,
bew_Latn,2000,1856,0.7846625709533691,False,
bfd_Latn,2000,2000,14.330946640014652,False,
bfo_Latn,2000,2000,18.542233974075316,False,
bgr_Latn,2000,1997,5.057361918216284,False,
bgt_Latn,2000,2000,43.46928821258545,False,
bgz_Latn,2000,1998,35.12920812454224,False,
bhg_Latn,2000,2000,32.27201401807997,False,
bhp_Latn,2000,1947,16.17126417541504,False,
bhz_Latn,2000,1998,54.28526336142222,False,
bib_Latn,2000,1999,19.24645429077148,False,
biu_Latn,2000,1997,13.157086043463813,False,
biv_Latn,2000,2000,4.6741594829559325,False,
bjn_Arab,2000,1919,1.8354448776245118,False,
bjp_Latn,2000,2000,46.064483642578125,False,
bkd_Latn,2000,1999,8.12512240753174,False,
bkl_Latn,2000,2000,79.4372246377733,False,
bkq_Latn,2000,2000,28.117169672224268,False,
bku_Latn,2000,2000,31.9357417356703,False,
bkv_Latn,2000,2000,40.422503151575725,False,
bla_Latn,1048,1047,55.98923820054796,False,
blh_Latn,2000,2000,73.57934334131876,False,
blt_Latn,2000,2000,85.28131103515625,False,
blw_Latn,2000,2000,27.754944655100505,False,
blz_Latn,2000,1997,10.897246259223083,False,
bmk_Latn,1657,1651,10.180938720703125,False,
bmq_Latn,2000,2000,25.720650373967494,False,
bmr_Latn,2000,2000,38.33681057087579,False,
bmv_Latn,2000,2000,63.53437432554033,False,
bnj_Latn,2000,1981,4.0525638580322285,False,
bno_Latn,2000,1999,35.7884453414917,False,
boa_Latn,2000,2000,52.91675713975693,False,
bom_Latn,2000,2000,62.118177003479005,False,
bor_Latn,156,131,-inf,True,low_calibration
bov_Latn,2000,1999,11.119882555770896,False,
box_Latn,2000,2000,27.68462590090434,False,
bpr_Latn,2000,1922,0.10019097035725912,False,
bps_Latn,2000,1922,0.03712829373677573,False,
bqj_Latn,2000,1999,39.953612133789065,False,
bqp_Latn,2000,1984,5.367109888712563,False,
brh_Arab,2000,1970,3.8544769287109375,False,
bru_Latn,2000,2000,44.17925364411672,False,
brx_Deva,2000,1986,14.23463151719835,False,
brx_Latn,374,374,40.23853870446947,False,
bsc_Latn,2000,2000,44.40910282230377,False,
bsn_Latn,2000,2000,17.021119152577718,False,
bsp_Latn,2000,1991,33.975446623484295,False,
bsq_Latn,2000,1974,55.56884808574253,False,
bss_Latn,2000,2000,29.76413356643253,False,
btd_Latn,2000,1991,11.644548988342285,False,
bth_Latn,2000,1999,36.44191298484802,False,
btt_Latn,2000,2000,41.89443934923808,False,
bud_Latn,2000,2000,49.85025122687022,False,
bug_Latn,2000,1928,5.160426377550761,False,
bvc_Latn,2000,2000,23.666026706822713,False,
bvd_Latn,2000,1997,18.667073563808867,False,
bvr_Latn,2000,2000,35.04853305274113,False,
bvz_Latn,2000,2000,86.35076115957897,False,
bwd_Latn,2000,1988,27.050288204956054,False,
bwi_Latn,221,219,32.96189019682142,False,
bwq_Latn,2000,1999,16.383447919464118,False,
bwu_Latn,2000,2000,8.082813322618275,False,
bxh_Latn,2000,2000,32.85216086387634,False,
byv_Latn,1735,1723,41.28877157084147,False,
byx_Latn,2000,2000,33.041921722412106,False,
bzi_Thai,2000,2000,72.43461442368826,False,
caa_Latn,2000,2000,15.99081862436926,False,
caf_Latn,2000,1991,0.23569960255093012,False,
cag_Latn,2000,1993,54.32334546407064,False,
cao_Latn,2000,2000,19.564408162604433,False,
cas_Latn,2000,2000,88.91316853179931,False,
cav_Latn,2000,1999,22.141491331481937,False,
cbc_Latn,2000,2000,33.499330467224105,False,
cbi_Latn,2000,2000,56.76504615410699,False,
cbt_Latn,2000,2000,64.73548602131737,False,
cbu_Latn,2000,1999,38.39747742958069,False,
cco_Latn,2000,2000,75.9857131364822,False,
ccp_Latn,2000,1999,33.76949098396301,False,
cdf_Latn,2000,2000,40.806876644219294,False,
cdo_Latn,2000,1998,90.77132942216662,False,
ceg_Latn,2000,2000,62.79189033253988,False,
cgc_Latn,2000,1989,6.304365866682266,False,
