lang,n_scoreable,n_self_won,tau,excluded,cause
abi_Latn,2000,2000,45.74130075836182,False,
abq_Cyrl,141,131,-inf,True,low_calibration
abs_Latn,1335,1319,7.187155056635538,False,
abx_Latn,2000,2000,7.3649241779327355,False,
abz_Latn,2000,1927,10.960015509033203,False,
aca_Latn,2000,2000,49.5368905901803,False,
acd_Latn,2000,2000,12.842085652923583,False,
ace_Arab,2000,1922,2.2432973636203344,False,
acm_Arab,2000,1623,0.3191196992238362,False,
acn_Latn,2000,2000,21.638557022370218,False,
ade_Latn,2000,2000,54.88990078025394,False,
adj_Latn,2000,1998,17.395013074366247,False,
adl_Latn,2000,1999,56.88719348335266,False,
ady_Cyrl,2000,1970,9.46459425362481,False,
adz_Latn,2000,1995,51.43860525682238,False,
aer_Latn,2000,1999,35.35532704772949,False,
aeu_Latn,2000,2000,47.193043012322356,False,
agn_Latn,2000,1997,2.3797704474555146,False,
agt_Latn,2000,1996,12.576227193196615,False,
agx_Cyrl,1958,1934,18.461896980879043,False,
aha_Latn,2000,1996,8.510997274716694,False,
aia_Latn,2000,1999,10.765173081207278,False,
aim_Latn,2000,1991,13.003492987738715,False,
ain_Latn,2000,1962,24.04295612074534,False,
aji_Latn,2000,1989,26.225003967115615,False,
ajz_Latn,2000,1998,22.905532380167642,False,
akb_Latn,2000,1982,4.404308458540175,False,
ake_Latn,2000,2000,33.50545788150364,False,
akp_Latn,2000,1998,7.63177721405028,False,
ald_Latn,2000,2000,55.02108740509881,False,
alj_Latn,2000,2000,15.200152530988058,False,
alp_Latn,2000,1997,7.70120950143603,False,
alq_Latn,2000,1995,3.2641674747043186,False,
aly_Latn,2000,2000,23.821636540582446,False,
amf_Latn,2000,1997,29.74967056274414,False,
amk_Latn,2000,1998,3.736394901190846,False,
amu_Latn,2000,1996,9.120396232604971,False,
amx_Latn,1656,1655,32.27552463684082,False,
ang_Latn,490,468,4.630058931456672,False,
anp_Deva,2000,1390,0.9338803897857666,False,
anv_Latn,2000,1999,9.409120263290406,False,
any_Latn,2000,1996,35.082559998830156,False,
aoi_Latn,2000,1997,70.96896056518554,False,
aom_Latn,2000,2000,27.67100935681662,False,
aoz_Latn,2000,1999,16.85698327484131,False,
apb_Latn,2000,1997,60.41573756781684,False,
apn_Latn,2000,2000,28.810015261544123,False,
apt_Latn,2000,1998,33.629943968772885,False,
apu_Latn,2000,1978,45.42810060412089,False,
apw_Latn,2000,2000,36.10419035847982,False,
aqz_Latn,271,72,-inf,True,low_calibration
arb_Latn,847,847,42.232445627594,False,
arc_Syrc,410,0,-inf,True,low_calibration
are_Latn,2000,1998,43.09794744739533,False,
arp_Latn,1963,1955,63.964803820164995,False,
arq_Arab,2000,1672,0.9660580078124997,False,
arr_Latn,572,439,1.2924342323303222,False,
asg_Latn,2000,1996,0.5287600930531823,False,
asm_Latn,455,421,3.2678899319966637,False,
atd_Latn,2000,1995,5.698212271796333,False,
atg_Latn,2000,1999,2.5888150169372564,False,
ati_Latn,2000,1928,32.51150383877224,False,
atj_Latn,1662,1614,63.5609071337382,False,
atq_Latn,2000,1995,18.789448030514187,False,
att_Latn,2000,2000,16.9127519237518,False,
auc_Latn,2000,2000,58.96981304384867,False,
aui_Latn,2000,1995,21.53504704017639,False,
ava_Cyrl,2000,1996,7.816023162841794,False,
avk_Latn,2000,1976,4.0842890252007376,False,
avn_Latn,2000,2000,23.28697323112488,False,
avu_Latn,2000,2000,52.041806209945676,False,
awi_Latn,2000,1999,40.14250745620728,False,
